Transcript stable ID	Transcript type	Transcript length (including UTRs and CDS)	Gene name
ENST00000615396	protein_coding	1792	KIR2DL4
ENST00000610608	protein_coding	1656	KIR2DL4
ENST00000614190	protein_coding	1314	KIR3DL3
ENST00000618616	protein_coding	1863	KIR3DL2
ENST00000615712	protein_coding	1834	KIR3DL2
ENST00000622348	protein_coding	1535	KIR2DL4
ENST00000619946	protein_coding	1656	KIR2DL4
ENST00000614954	protein_coding	609	FCAR
ENST00000622883	protein_coding	1432	FCAR
ENST00000613199	protein_coding	1483	FCAR
ENST00000621684	protein_coding	608	FCAR
ENST00000619414	protein_coding	830	FCAR
ENST00000620162	protein_coding	762	FCAR
ENST00000610786	protein_coding	754	FCAR
ENST00000615040	protein_coding	828	FCAR
ENST00000622470	protein_coding	537	FCAR
ENST00000615600	protein_coding	2191	OPRL1
ENST00000627060	protein_coding	2724	OPRL1
ENST00000625570	protein_coding	2724	OPRL1
ENST00000621353	protein_coding	1857	KIR3DL1
ENST00000612646	protein_coding	1352	NPBWR2
ENST00000619211	protein_coding	1658	KIR3DL1
ENST00000619277	protein_coding	1810	KIR3DL1
ENST00000611230	protein_coding	1453	KIR3DL1
ENST00000615980	protein_coding	1120	KIR2DS5
ENST00000612069	protein_coding	1593	KIR2DL1
ENST00000614885	protein_coding	1294	KIR3DP1
ENST00000619995	protein_coding	1311	KIR2DL3
ENST00000619473	protein_coding	1169	KIR2DS2
ENST00000622127	protein_coding	1344	KIR2DS2
ENST00000616462	protein_coding	1596	KIR2DS2
ENST00000616597	protein_coding	2061	MYT1
ENST00000613234	protein_coding	5535	MYT1
ENST00000621996	protein_coding	2140	MYT1
ENST00000616648	protein_coding	5614	MYT1
ENST00000614255	protein_coding	1691	KIR3DL3
ENST00000614018	protein_coding	1596	KIR2DL5B
ENST00000612865	protein_coding	1580	KIR2DL4
ENST00000614427	protein_coding	1656	KIR2DL4
ENST00000613229	protein_coding	1860	KIR3DL1
ENST00000613869	protein_coding	1863	KIR3DL1
ENST00000615036	protein_coding	1810	KIR3DL1
ENST00000615298	protein_coding	1572	KIR2DL1
ENST00000619476	protein_coding	1865	KIR3DL1
ENST00000618890	protein_coding	1541	KIR3DS1
ENST00000618388	protein_coding	1572	KIR2DL2
ENST00000621002	protein_coding	1547	KIR2DL4
ENST00000616384	protein_coding	1474	KIR2DL4
ENST00000622350	protein_coding	1656	KIR2DL4
ENST00000612879	protein_coding	1189	KIR2DL4
ENST00000616642	protein_coding	1576	KIR2DL1
ENST00000620959	protein_coding	1865	KIR3DL1
ENST00000622560	protein_coding	1587	KIR2DL2
ENST00000612571	protein_coding	671	KIR3DL1
ENST00000616188	protein_coding	1860	KIR3DL1
ENST00000618686	protein_coding	2237	
ENST00000611206	protein_coding	1419	KIR2DL2
ENST00000617354	protein_coding	1662	KIR3DL2
ENST00000612138	protein_coding	1834	KIR3DL2
ENST00000611369	protein_coding	1596	KIR2DL3
ENST00000619074	protein_coding	1314	KIR3DL3
ENST00000614379	protein_coding	1567	KIR2DL4
ENST00000619698	protein_coding	1455	KIR2DS5
ENST00000617783	protein_coding	1850	KIR2DS4
ENST00000614650	protein_coding	1371	KIR2DL2
ENST00000617584	protein_coding	1604	KIR3DL3
ENST00000611422	protein_coding	1596	KIR2DL5A
ENST00000617919	protein_coding	1823	KIR3DL3
ENST00000615361	protein_coding	609	FCAR
ENST00000613318	protein_coding	1432	FCAR
ENST00000622737	protein_coding	2431	FCAR
ENST00000617778	protein_coding	608	FCAR
ENST00000614893	protein_coding	830	FCAR
ENST00000611130	protein_coding	762	FCAR
ENST00000619073	protein_coding	754	FCAR
ENST00000611871	protein_coding	828	FCAR
ENST00000622646	protein_coding	537	FCAR
ENST00000612159	protein_coding	609	FCAR
ENST00000615800	protein_coding	1432	FCAR
ENST00000614226	protein_coding	1483	FCAR
ENST00000617025	protein_coding	608	FCAR
ENST00000614433	protein_coding	830	FCAR
ENST00000620270	protein_coding	762	FCAR
ENST00000612505	protein_coding	754	FCAR
ENST00000618328	protein_coding	828	FCAR
ENST00000618271	protein_coding	537	FCAR
ENST00000613951	protein_coding	1535	KIR2DS1
ENST00000622249	protein_coding	1877	KIR3DL2
ENST00000612166	protein_coding	1834	KIR3DL2
ENST00000610407	protein_coding	1596	KIR2DL3
ENST00000613378	protein_coding	1381	KIR2DS2
ENST00000612933	protein_coding	1858	KIR3DL1
ENST00000620703	protein_coding	1694	KIR3DL1
ENST00000622024	protein_coding	1877	KIR3DL2
ENST00000610507	protein_coding	1546	KIR3DL2
ENST00000615523	protein_coding	1900	KIR3DL1
ENST00000611574	protein_coding	1849	KIR3DL1
ENST00000610911	protein_coding	1575	KIR2DL4
ENST00000619980	protein_coding	1642	KIR2DL4
ENST00000610492	protein_coding	1392	KIR2DL4
ENST00000611437	protein_coding	1443	KIR2DL4
ENST00000613824	protein_coding	1656	KIR2DL4
ENST00000622882	protein_coding	1145	KIR2DL4
ENST00000614599	protein_coding	1637	KIR2DL4
ENST00000619424	protein_coding	1406	KIR2DL1
ENST00000614181	protein_coding	1314	KIR3DL3
ENST00000613442	protein_coding	1548	KIR2DL4
ENST00000620905	protein_coding	1637	KIR2DL4
ENST00000620281	protein_coding	1596	KIR2DL5B
ENST00000620669	protein_coding	1344	KIR2DS4
ENST00000617127	protein_coding	1585	KIR2DL1
ENST00000616076	protein_coding	1588	KIR2DL1
ENST00000617376	protein_coding	1212	KIR2DL1
ENST00000616310	protein_coding	1341	KIR2DL1
ENST00000618071	protein_coding	1323	KIR2DS1
ENST00000619848	protein_coding	1548	KIR2DL4
ENST00000613155	protein_coding	1596	KIR2DL5A
ENST00000612502	protein_coding	1694	KIR3DL3
ENST00000619479	protein_coding	1704	KIR2DS5
ENST00000610920	protein_coding	1596	KIR2DL5B
ENST00000611451	protein_coding	1865	KIR3DL1
ENST00000621759	protein_coding	1810	KIR3DL1
ENST00000614429	protein_coding	1660	KIR3DS1
ENST00000622416	protein_coding	1769	KIR3DS1
ENST00000617398	protein_coding	1874	KIR3DL2
ENST00000610914	protein_coding	1834	KIR3DL2
ENST00000613666	protein_coding	1314	KIR3DL3
ENST00000613321	protein_coding	1494	KIR3DL3
ENST00000616472	protein_coding	1397	KIR2DS2
ENST00000613017	protein_coding	1596	KIR2DS2
ENST00000617984	protein_coding	1557	KIR2DS2
ENST00000617853	protein_coding	1590	KIR2DL3
ENST00000621881	protein_coding	1294	KIR3DP1
ENST00000615475	protein_coding	1632	KIR2DL5B
ENST00000613298	protein_coding	609	FCAR
ENST00000617766	protein_coding	1432	FCAR
ENST00000619385	protein_coding	1483	FCAR
ENST00000610397	protein_coding	608	FCAR
ENST00000618805	protein_coding	830	FCAR
ENST00000620873	protein_coding	762	FCAR
ENST00000612815	protein_coding	754	FCAR
ENST00000616340	protein_coding	828	FCAR
ENST00000620822	protein_coding	537	FCAR
ENST00000617666	protein_coding	1877	KIR3DL2
ENST00000620280	protein_coding	1834	KIR3DL2
ENST00000614725	protein_coding	1193	KIR2DS3
ENST00000617680	protein_coding	1863	KIR3DL1
ENST00000619271	protein_coding	1810	KIR3DL1
ENST00000618755	protein_coding	1193	
ENST00000612389	protein_coding	1265	KIR2DL4
ENST00000611244	protein_coding	1742	KIR2DL4
ENST00000622365	protein_coding	1637	KIR2DL4
ENST00000611821	protein_coding	1464	KIR2DL3
ENST00000620803	protein_coding	1314	KIR3DL3
ENST00000612504	protein_coding	1341	KIR2DL1
ENST00000616780	protein_coding	720	NCR1
ENST00000614280	protein_coding	678	NCR1
ENST00000612194	protein_coding	404	NCR1
ENST00000622541	protein_coding	361	NCR1
ENST00000631948	protein_coding	4811	SBNO2
ENST00000622719	protein_coding	4537	SBNO2
ENST00000634172	protein_coding	4776	SBNO2
ENST00000632777	protein_coding	562	SBNO2
ENST00000633604	protein_coding	510	SBNO2
ENST00000631778	protein_coding	461	SBNO2
ENST00000612198	protein_coding	4686	SBNO2
ENST00000617711	protein_coding	2529	PTCHD3
ENST00000610715	protein_coding	1720	PTCHD3
ENST00000622039	protein_coding	1101	KIR2DS1
ENST00000631855	protein_coding	9824	DNAH10
ENST00000631648	protein_coding	1003	DNAH10
ENST00000611411	protein_coding	1632	KIR2DL5B
ENST00000621701	protein_coding	1874	KIR3DL2
ENST00000615318	protein_coding	1834	KIR3DL2
ENST00000610869	protein_coding	1691	KIR3DL3
ENST00000613580	protein_coding	1320	KIR2DL1
ENST00000615920	protein_coding	1600	KIR2DL1
ENST00000612312	protein_coding	1212	KIR2DL1
ENST00000615739	protein_coding	1590	KIR2DL3
ENST00000615309	protein_coding	720	NCR1
ENST00000613610	protein_coding	1863	KIR3DL2
ENST00000616626	protein_coding	1834	KIR3DL2
ENST00000620550	protein_coding	1863	KIR3DL2
ENST00000616854	protein_coding	1834	KIR3DL2
ENST00000614298	protein_coding	609	FCAR
ENST00000618658	protein_coding	1432	FCAR
ENST00000620801	protein_coding	1483	FCAR
ENST00000621009	protein_coding	608	FCAR
ENST00000614917	protein_coding	830	FCAR
ENST00000611018	protein_coding	762	FCAR
ENST00000612803	protein_coding	754	FCAR
ENST00000621004	protein_coding	828	FCAR
ENST00000621755	protein_coding	537	FCAR
ENST00000621178	protein_coding	1380	KIR3DS1
ENST00000611309	protein_coding	978	KIR3DS1
ENST00000620731	protein_coding	931	KIR3DS1
ENST00000615875	protein_coding	1769	KIR3DS1
ENST00000614231	protein_coding	1465	KIR2DS2
ENST00000611628	protein_coding	1874	KIR3DL2
ENST00000613586	protein_coding	1834	KIR3DL2
ENST00000627224	protein_coding	693	SNTG2
ENST00000619683	protein_coding	1874	KIR3DL2
ENST00000619026	protein_coding	1834	KIR3DL2
ENST00000611990	protein_coding	1590	KIR2DL3
ENST00000619637	protein_coding	1581	KIR2DL4
ENST00000618955	protein_coding	1474	KIR2DL4
ENST00000618013	protein_coding	1022	KIR2DL4
ENST00000575017	protein_coding	985	OR9G4
ENST00000616878	protein_coding	609	FCAR
ENST00000615703	protein_coding	1432	FCAR
ENST00000621702	protein_coding	1483	FCAR
ENST00000612150	protein_coding	608	FCAR
ENST00000619822	protein_coding	830	FCAR
ENST00000622904	protein_coding	762	FCAR
ENST00000610340	protein_coding	754	FCAR
ENST00000622777	protein_coding	828	FCAR
ENST00000615719	protein_coding	537	FCAR
ENST00000615969	protein_coding	1395	KIR2DL5B
ENST00000610602	protein_coding	1860	KIR3DL1
ENST00000610515	protein_coding	1810	KIR3DL1
ENST00000611495	protein_coding	1286	KIR2DS2
ENST00000610441	protein_coding	1169	KIR2DS2
ENST00000621207	protein_coding	1101	KIR2DS1
ENST00000619621	protein_coding	1371	KIR2DL2
ENST00000618920	protein_coding	1691	KIR3DL3
ENST00000573911	protein_coding	918	OR9G1
ENST00000610345	protein_coding	1860	KIR3DL1
ENST00000616424	protein_coding	1810	KIR3DL1
ENST00000611367	protein_coding	1694	KIR3DL3
ENST00000611193	protein_coding	991	KIR2DS3
ENST00000571130	protein_coding	918	OR9G9
ENST00000576342	protein_coding	7235	GATAD2B
ENST00000632401	protein_coding	2491	CCDC92
ENST00000631749	protein_coding	4064	CCDC92
ENST00000614047	protein_coding	1584	CCDC92
ENST00000633908	protein_coding	594	CCDC92
ENST00000633097	protein_coding	306	CCDC92
ENST00000633868	protein_coding	348	CCDC92
ENST00000631954	protein_coding	111	CCDC92
ENST00000611573	protein_coding	1694	KIR3DL3
ENST00000611434	protein_coding	1536	KIR2DL4
ENST00000620961	protein_coding	1637	KIR2DL4
ENST00000619540	protein_coding	503	ZNF430
ENST00000624457	protein_coding	489	ZNF430
ENST00000623534	protein_coding	473	ZNF430
ENST00000625163	protein_coding	3021	ZNF430
ENST00000627644	protein_coding	324	ZNF430
ENST00000623898	protein_coding	563	ZNF85
ENST00000625004	protein_coding	506	ZNF85
ENST00000615882	protein_coding	1531	ZNF85
ENST00000624588	protein_coding	556	ZNF85
ENST00000624369	protein_coding	483	ZNF85
ENST00000615320	protein_coding	2296	ZNF85
ENST00000615413	protein_coding	549	ZNF85
ENST00000623537	protein_coding	1259	ZNF85
ENST00000613159	protein_coding	1689	ZNF85
ENST00000612293	protein_coding	2631	ZNF85
ENST00000617593	protein_coding	1579	KIR2DL3
ENST00000575439	protein_coding	3351	SLC27A3
ENST00000623839	protein_coding	2413	SLC27A3
ENST00000570870	protein_coding	1357	SLC27A3
ENST00000573411	protein_coding	433	SLC27A3
ENST00000575532	protein_coding	457	SLC27A3
ENST00000618987	protein_coding	1320	KIR2DL1
ENST00000610861	protein_coding	1314	KIR3DL3
ENST00000612182	protein_coding	1557	KIR2DS2
ENST00000618798	protein_coding	720	NCR1
ENST00000619741	protein_coding	678	NCR1
ENST00000612994	protein_coding	707	NCR1
ENST00000618725	protein_coding	404	NCR1
ENST00000620721	protein_coding	689	NCR1
ENST00000613253	protein_coding	361	NCR1
ENST00000614513	protein_coding	1193	KIR2DS3
ENST00000617974	protein_coding	1632	KIR2DL5A
ENST00000610437	protein_coding	1833	KIR3DL3
ENST00000620851	protein_coding	1691	KIR3DL3
ENST00000612594	protein_coding	1419	KIR2DL2
ENST00000620926	protein_coding	1690	KIR3DS1
ENST00000621225	protein_coding	1769	KIR3DS1
ENST00000620498	protein_coding	1541	KIR3DS1
ENST00000620611	protein_coding	1769	KIR3DS1
ENST00000615970	protein_coding	1730	KIR2DL4
ENST00000612095	protein_coding	1244	KIR3DL3
ENST00000611207	protein_coding	1585	KIR2DL3
ENST00000619788	protein_coding	1422	KIR2DS5
ENST00000613053	protein_coding	1581	KIR2DL4
ENST00000615930	protein_coding	1120	ZNF66
ENST00000623857	protein_coding	774	ZNF66
ENST00000452874	protein_coding	1806	ZNF66
ENST00000619771	protein_coding	1344	KIR2DS4
ENST00000613410	protein_coding	1572	KIR2DL2
ENST00000614653	protein_coding	1536	KIR2DL4
ENST00000621304	protein_coding	1632	KIR2DL5A
ENST00000613226	protein_coding	3875	PIWIL1
ENST00000632888	protein_coding	2579	PIWIL1
ENST00000634077	protein_coding	571	PIWIL1
ENST00000633272	protein_coding	467	PIWIL1
ENST00000633252	protein_coding	545	PIWIL1
ENST00000634115	protein_coding	566	PIWIL1
ENST00000633042	protein_coding	879	PIWIL1
ENST00000615308	protein_coding	1874	KIR3DL2
ENST00000613109	protein_coding	1834	KIR3DL2
ENST00000613587	protein_coding	1694	KIR3DL3
ENST00000616438	protein_coding	1877	KIR3DL2
ENST00000622784	protein_coding	1546	KIR3DL2
ENST00000599578	protein_coding	1186	
ENST00000571104	protein_coding	1005	KRTAP9-2
ENST00000570861	protein_coding	967	KRTAP9-4
ENST00000576511	protein_coding	1303	KRTAP9-6
ENST00000611199	protein_coding	1294	
ENST00000620455	protein_coding	1580	KIR2DL4
ENST00000612364	protein_coding	1396	KIR2DL4
ENST00000615139	protein_coding	1447	KIR2DL4
ENST00000622322	protein_coding	715	KIR2DL4
ENST00000619802	protein_coding	1742	KIR2DL4
ENST00000616049	protein_coding	2142	
ENST00000616157	protein_coding	1989	
ENST00000573531	protein_coding	1039	KRTAP9-7
ENST00000618870	protein_coding	1587	KIR2DL2
ENST00000574737	protein_coding	1026	KRTAP29-1
ENST00000570825	protein_coding	981	KRTAP9-9
ENST00000618364	protein_coding	1569	KIR2DS2
ENST00000369222	protein_coding	660	PPIAL4F
ENST00000629736	protein_coding	275	DHX36
ENST00000627269	protein_coding	651	DHX36
ENST00000630672	protein_coding	1154	DHX36
ENST00000626678	protein_coding	4276	DHX36
ENST00000618713	protein_coding	1815	KIR3DL3
ENST00000632221	protein_coding	4292	DLG5
ENST00000614211	protein_coding	7415	DLG5
ENST00000611663	protein_coding	1314	KIR3DL3
ENST00000617469	protein_coding	1410	KIR2DS4
ENST00000613465	protein_coding	1406	KIR2DL1
ENST00000616631	protein_coding	1212	KIR2DL1
ENST00000621155	protein_coding	1863	KIR3DL2
ENST00000612733	protein_coding	1834	KIR3DL2
ENST00000610587	protein_coding	1662	KIR3DL2
ENST00000622574	protein_coding	1834	KIR3DL2
ENST00000610627	protein_coding	1406	KIR2DL1
ENST00000615880	protein_coding	1691	KIR3DL3
ENST00000613891	protein_coding	1662	KIR3DL2
ENST00000612018	protein_coding	1834	KIR3DL2
ENST00000629129	protein_coding	2353	ARHGEF26
ENST00000630729	protein_coding	3781	ARHGEF26
ENST00000614308	protein_coding	3857	ARHGEF26
ENST00000618535	protein_coding	3975	ARHGEF26
ENST00000617247	protein_coding	1600	KIR2DL1
ENST00000622568	protein_coding	1294	
ENST00000614639	protein_coding	1633	KIR2DS4
ENST00000617825	protein_coding	1630	KIR2DS4
ENST00000621031	protein_coding	1580	KIR2DL4
ENST00000619882	protein_coding	1392	KIR2DL4
ENST00000618501	protein_coding	1804	KIR2DL4
ENST00000618640	protein_coding	1656	KIR2DL4
ENST00000617790	protein_coding	1344	KIR2DL3
ENST00000618993	protein_coding	1691	KIR3DL3
ENST00000614976	protein_coding	720	NCR1
ENST00000616747	protein_coding	678	NCR1
ENST00000611120	protein_coding	404	NCR1
ENST00000611608	protein_coding	1863	KIR3DL2
ENST00000622579	protein_coding	1546	KIR3DL2
ENST00000622043	protein_coding	1691	KIR3DL3
ENST00000625846	protein_coding	1304	FTCD
ENST00000625714	protein_coding	1304	FTCD
ENST00000625428	protein_coding	1304	FTCD
ENST00000629394	protein_coding	1304	FTCD
ENST00000627048	protein_coding	1902	ADI1
ENST00000592900	protein_coding	986	KRTAP9-9
ENST00000617040	protein_coding	933	KRTAP9-9
ENST00000618133	protein_coding	1269	TRAPPC12
ENST00000628660	protein_coding	1303	TRAPPC12
ENST00000631737	protein_coding	1253	TRAPPC12
ENST00000572513	protein_coding	1005	KRTAP9-2
ENST00000575341	protein_coding	967	KRTAP9-4
ENST00000571096	protein_coding	992	KRTAP9-3
ENST00000574248	protein_coding	525	
ENST00000620062	protein_coding	1658	KIR3DL1
ENST00000614464	protein_coding	1810	KIR3DL1
ENST00000576125	protein_coding	1026	KRTAP29-1
ENST00000618394	protein_coding	1314	KIR3DL3
ENST00000627321	protein_coding	382	SNTG2
ENST00000625507	protein_coding	382	SNTG2
ENST00000620485	protein_coding	1874	KIR3DL2
ENST00000615608	protein_coding	1834	KIR3DL2
ENST00000621273	protein_coding	1632	KIR2DL5A
ENST00000630343	protein_coding	2368	LSS
ENST00000630761	protein_coding	4307	LSS
ENST00000627118	protein_coding	517	LSS
ENST00000625576	protein_coding	1970	LSS
ENST00000625922	protein_coding	233	LSS
ENST00000620545	protein_coding	1193	
ENST00000611996	protein_coding	1557	KIR2DS1
ENST00000617741	protein_coding	720	NCR1
ENST00000616589	protein_coding	678	NCR1
ENST00000622620	protein_coding	707	NCR1
ENST00000611792	protein_coding	689	NCR1
ENST00000614704	protein_coding	404	NCR1
ENST00000616564	protein_coding	361	NCR1
ENST00000622463	protein_coding	1600	KIR2DL1
ENST00000611849	protein_coding	1212	KIR2DL1
ENST00000629774	protein_coding	1155	TPO
ENST00000627010	protein_coding	2831	TPO
ENST00000627917	protein_coding	2649	TPO
ENST00000628844	protein_coding	542	TPO
ENST00000625313	protein_coding	2229	TPO
ENST00000625793	protein_coding	2934	TPO
ENST00000626753	protein_coding	1042	TPO
ENST00000626995	protein_coding	1038	TPO
ENST00000617910	protein_coding	1157	TPO
ENST00000622050	protein_coding	2761	TPO
ENST00000613631	protein_coding	2893	TPO
ENST00000629850	protein_coding	813	PROP1
ENST00000293937	protein_coding	1273	HS3ST6
ENST00000576098	protein_coding	1737	KRT20
ENST00000616302	protein_coding	1401	KIR2DL1
ENST00000618563	protein_coding	1212	KIR2DL1
ENST00000630933	protein_coding	133	KCNQ2
ENST00000628732	protein_coding	585	KCNQ2
ENST00000629338	protein_coding	1093	KCNQ2
ENST00000628790	protein_coding	1175	KCNQ2
ENST00000628544	protein_coding	1145	KCNQ2
ENST00000627948	protein_coding	1229	KCNQ2
ENST00000627416	protein_coding	1109	KCNQ2
ENST00000626723	protein_coding	1145	KCNQ2
ENST00000629641	protein_coding	1145	KCNQ2
ENST00000626962	protein_coding	1139	KCNQ2
ENST00000629518	protein_coding	1145	KCNQ2
ENST00000630648	protein_coding	950	KCNQ2
ENST00000625248	protein_coding	716	KCNQ2
ENST00000631596	protein_coding	58	ERICH1
ENST00000632053	protein_coding	100	ERICH1
ENST00000610327	protein_coding	1588	KIR2DL1
ENST00000620449	protein_coding	1212	KIR2DL1
ENST00000571440	protein_coding	594	KRTAP3-1
ENST00000575409	protein_coding	702	KRTAP3-2
ENST00000614006	protein_coding	1333	PROP1
ENST00000574465	protein_coding	1157	KRTAP4-9
ENST00000612465	protein_coding	2195	
ENST00000572903	protein_coding	764	KRTAP2-4
ENST00000622644	protein_coding	1590	KIR2DL3
ENST00000621424	protein_coding	2405	
ENST00000615165	protein_coding	1990	
ENST00000620588	protein_coding	1586	KIR2DL1
ENST00000574480	protein_coding	1987	KRT23
ENST00000571258	protein_coding	1485	KRT23
ENST00000581268	protein_coding	687	KRT23
ENST00000572233	protein_coding	865	KRT23
ENST00000618180	protein_coding	2040	ABCB11
ENST00000618495	protein_coding	1182	SPATC1L
ENST00000621926	protein_coding	2303	SPATC1L
ENST00000622133	protein_coding	1214	G6PC2
ENST00000612807	protein_coding	645	G6PC2
ENST00000618310	protein_coding	494	G6PC2
ENST00000631255	protein_coding	737	SLC45A2
ENST00000626332	protein_coding	1777	SLC45A2
ENST00000626082	protein_coding	375	SLC45A2
ENST00000631273	protein_coding	417	SLC45A2
ENST00000616205	protein_coding	1852	RXFP3
ENST00000617404	protein_coding	1572	KIR2DL3
ENST00000630537	protein_coding	574	ADAMTS12
ENST00000630002	protein_coding	825	ADAMTS12
ENST00000617330	protein_coding	1216	KIR2DS3
ENST00000612660	protein_coding	1497	KIR2DL4
ENST00000614339	protein_coding	715	KIR2DL4
ENST00000620484	protein_coding	1536	KIR2DL4
ENST00000622255	protein_coding	1022	KIR2DL4
ENST00000619195	protein_coding	1597	KIR2DL4
ENST00000611144	protein_coding	675	SPC25
ENST00000612416	protein_coding	596	SPC25
ENST00000616584	protein_coding	1344	SPC25
ENST00000610716	protein_coding	1690	KIR3DS1
ENST00000610591	protein_coding	1769	KIR3DS1
ENST00000619702	protein_coding	1596	KIR2DL3
ENST00000613204	protein_coding	1213	
ENST00000623492	protein_coding	1135	APOBEC3A
ENST00000570508	protein_coding	1103	APOBEC3A
ENST00000623152	protein_coding	1350	GARRE1
ENST00000623194	protein_coding	504	GARRE1
ENST00000625057	protein_coding	582	GARRE1
ENST00000617983	protein_coding	2404	
ENST00000631056	protein_coding	52	TUBGCP5
ENST00000625230	protein_coding	68	TUBGCP5
ENST00000625645	protein_coding	338	TUBGCP5
ENST00000625753	protein_coding	439	TUBGCP5
ENST00000633557	protein_coding	238	SEPTIN9
ENST00000634088	protein_coding	145	SEPTIN9
ENST00000632729	protein_coding	104	SEPTIN9
ENST00000614753	protein_coding	1874	KIR3DL2
ENST00000613029	protein_coding	1834	KIR3DL2
ENST00000575811	protein_coding	3519	LSM14A
ENST00000570462	protein_coding	2266	LSM14A
ENST00000575697	protein_coding	1032	LSM14A
ENST00000575388	protein_coding	690	LSM14A
ENST00000622515	protein_coding	1865	KIR3DL1
ENST00000576967	protein_coding	1772	KRT40
ENST00000610983	protein_coding	1812	KRT40
ENST00000611085	protein_coding	2620	GOLGA6L1
ENST00000619072	protein_coding	153	CRIM1
ENST00000613124	protein_coding	181	CRIM1
ENST00000619935	protein_coding	698	CRIM1
ENST00000619846	protein_coding	387	NOSTRIN
ENST00000620516	protein_coding	1179	NOSTRIN
ENST00000611498	protein_coding	1179	NOSTRIN
ENST00000614842	protein_coding	1179	NOSTRIN
ENST00000610378	protein_coding	1263	NOSTRIN
ENST00000610364	protein_coding	1435	NOSTRIN
ENST00000618893	protein_coding	1723	NOSTRIN
ENST00000573871	protein_coding	903	KRTAP1-1
ENST00000573155	protein_coding	863	
ENST00000614687	protein_coding	714	
ENST00000573418	protein_coding	1180	KRTAP4-11
ENST00000625276	protein_coding	2643	CYFIP1
ENST00000628954	protein_coding	2779	CYFIP1
ENST00000626546	protein_coding	553	CYFIP1
ENST00000628747	protein_coding	544	CYFIP1
ENST00000630158	protein_coding	582	CYFIP1
ENST00000575715	protein_coding	972	KRTAP1-3
ENST00000576939	protein_coding	708	KRTAP4-16
ENST00000572470	protein_coding	1867	KRT12
ENST00000633655	protein_coding	1336	DLGAP2
ENST00000633162	protein_coding	1252	DLGAP2
ENST00000572212	protein_coding	1177	KRTAP1-5
ENST00000575391	protein_coding	1696	KRT39
ENST00000633544	protein_coding	1310	CNTNAP2
