pb	tx_cat	pr_splice_cat	tx_subcat	pr_splice_subcat	tx_tss_diff	tx_tts_diff	tx_tss_gene_diff	tx_tts_gene_diff	pr_nterm_diff	pr_cterm_diff	pr_nterm_gene_diff	pr_cterm_gene_diff	tx_transcripts	pr_transcripts	tx_gene	pr_gene	tx_num_exons	pr_num_exons	is_nmd	num_junc_after_stop_codon	num_nt_after_stop_codon	tx_5hang	tx_3hang	pr_nhang	pr_chang
ENST00000378209.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000378209.8	ENST00000378209.8	ENSG00000169598.17	ENSG00000169598.17	7	7	FALSE	0	1819	0	0	0	0
ENST00000341524.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000341524.6	ENST00000341524.6	ENSG00000069424.16	ENSG00000069424.16	17	16	FALSE	0	2707	0	0	0	0
ENST00000378097.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000378097.6	ENST00000378097.6	ENSG00000069424.16	ENSG00000069424.16	16	15	FALSE	0	3201	0	0	0	0
ENST00000662363.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	629	0	275	0	0	0	0	ENST00000662363.1	ENST00000662363.1	ENSG00000069424.16	ENSG00000069424.16	14	14	FALSE	0	1135	0	-629	0	0
ENST00000480661.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000480661.1	ENST00000497965.5	ENSG00000116251.11	ENSG00000116251.11	3	3	FALSE	0	1994	0	0	0	0
ENST00000467612.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000467612.5	ENST00000467612.5	ENSG00000162413.17	ENSG00000162413.17	4	3	FALSE	0	366	0	0	0	0
ENST00000294401.11	full-splice_match	full-splice_match	multi-exon	multi-exon	110	0	2	0	0	0	0	0	ENST00000294401.11	ENST00000294401.11	ENSG00000007923.17	ENSG00000007923.17	15	15	FALSE	0	579	-110	0	0	0
ENST00000693337.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	75	0	-75	0	14381	0	124	ENST00000693337.1	ENST00000685129.1	ENSG00000007923.17	ENSG00000007923.17	4	4	FALSE	0	1011	0	-75	0	48
ENST00000361923.2	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000361923.2	ENST00000361923.2	ENSG00000049246.15	ENSG00000049246.15	21	21	FALSE	0	2600	0	0	0	0
ENST00000377491.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000377491.5	ENST00000493678.5	ENSG00000116288.13	ENSG00000116288.13	7	6	FALSE	0	410	0	0	0	0
ENST00000469499.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000469499.5	ENST00000469499.5	ENSG00000116285.13	ENSG00000116285.13	3	2	FALSE	0	773	0	0	0	0
ENST00000476556.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	319	0	-319	0	0	0	0	ENST00000476556.5	ENST00000476556.5	ENSG00000142599.19	ENSG00000142599.19	13	9	FALSE	0	1243	0	-319	0	0
ENST00000340381.11	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000340381.11	ENST00000340381.11	ENSG00000188807.13	ENSG00000188807.13	11	11	FALSE	0	1817	0	0	0	0
ENST00000400904.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000400904.7	ENST00000377263.6	ENSG00000178585.15	ENSG00000178585.15	5	3	FALSE	0	963	0	0	0	0
ENST00000253251.12	full-splice_match	full-splice_match	multi-exon	multi-exon	0	136	0	-136	0	0	0	0	ENST00000253251.12	ENST00000253251.12	ENSG00000130939.20	ENSG00000130939.20	27	27	FALSE	0	1117	0	-136	0	0
ENST00000270776.13	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000270776.13	ENST00000270776.13	ENSG00000142657.21	ENSG00000142657.21	13	13	FALSE	0	819	0	0	0	0
ENST00000462462.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000462462.1	ENST00000465026.1	ENSG00000175279.22	ENSG00000251503.8	3	2	TRUE	1	437	0	0	0	0
ENST00000477755.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000477755.1	ENST00000477755.1	ENSG00000175279.22	ENSG00000175279.22	5	2	TRUE	3	680	0	0	0	0
ENST00000377036.2	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000377036.2	ENST00000377036.2	ENSG00000160049.12	ENSG00000160049.12	5	5	FALSE	0	599	0	0	0	0
ENST00000356607.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000356607.9	ENST00000356607.9	ENSG00000142655.13	ENSG00000142655.13	9	9	FALSE	0	791	0	0	0	0
ENST00000354287.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000354287.5	ENST00000354287.5	ENSG00000116661.11	ENSG00000116661.11	6	6	FALSE	0	399	0	0	0	0
ENST00000376762.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000376762.8	ENST00000251546.8	ENSG00000132879.14	ENSG00000132879.14	5	4	FALSE	0	1062	0	0	0	0
ENST00000376753.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000376753.9	ENST00000376753.9	ENSG00000116663.11	ENSG00000116663.11	6	5	FALSE	0	565	0	0	0	0
ENST00000314340.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000314340.10	ENST00000314340.10	ENSG00000177674.16	ENSG00000177674.16	5	5	FALSE	0	653	0	0	0	0
ENST00000376629.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000376629.8	ENST00000376629.8	ENSG00000177674.16	ENSG00000177674.16	5	5	FALSE	0	644	0	0	0	0
ENST00000641437.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	-106	0	106	ENST00000641437.1	ENST00000418034.1	ENSG00000177000.13	ENSG00000177000.13	3	2	FALSE	0	1374	0	0	0	106
ENST00000346436.11	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000346436.11	ENST00000346436.11	ENSG00000011021.23	ENSG00000011021.23	23	23	FALSE	0	2982	0	0	0	0
ENST00000196061.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000196061.5	ENST00000196061.5	ENSG00000083444.17	ENSG00000083444.17	19	19	FALSE	0	795	0	0	0	0
ENST00000235329.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000235329.10	ENST00000444836.5	ENSG00000116688.18	ENSG00000116688.18	19	17	FALSE	0	2136	0	0	0	0
ENST00000235332.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000235332.6	ENST00000235332.6	ENSG00000116691.11	ENSG00000116691.11	10	9	FALSE	0	377	0	0	0	0
ENST00000376085.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000376085.4	ENST00000376085.4	ENSG00000162494.6	ENSG00000162494.6	2	2	FALSE	0	1286	0	0	0	0
ENST00000376061.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	532	0	3	0	0	0	0	ENST00000376061.8	ENST00000376061.8	ENSG00000162493.17	ENSG00000162493.17	6	5	FALSE	0	476	0	-532	0	0
ENST00000375847.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375847.8	ENST00000375847.8	ENSG00000116138.13	ENSG00000116138.13	15	14	FALSE	0	3688	0	0	0	0
ENST00000616884.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000616884.4	ENST00000616884.4	ENSG00000116138.13	ENSG00000116138.13	14	9	FALSE	0	4472	0	0	0	0
ENST00000480945.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000480945.6	ENST00000480945.6	ENSG00000197312.12	ENSG00000197312.12	10	9	TRUE	1	9470	0	0	0	0
ENST00000546927.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	29815	0	-6992	ENST00000546927.1	ENST00000480945.6	ENSG00000197312.12	ENSG00000197312.12	2	2	FALSE	0	307	0	0	0	17
ENST00000294454.6	full-splice_match	full-splice_match	multi-exon	multi-exon	407	0	407	0	246	0	246	0	ENST00000294454.6	ENST00000294454.6	ENSG00000162461.8	ENSG00000162461.8	5	5	FALSE	0	2056	-407	0	-246	0
ENST00000375733.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375733.6	ENST00000375733.6	ENSG00000116809.12	ENSG00000116809.12	16	14	FALSE	0	340	0	0	0	0
ENST00000375743.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375743.9	ENST00000375743.9	ENSG00000116809.12	ENSG00000116809.12	16	14	FALSE	0	311	0	0	0	0
ENST00000375667.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375667.7	ENST00000375667.7	ENSG00000184908.20	ENSG00000184908.20	13	13	FALSE	0	578	0	0	0	0
ENST00000461614.1	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	0	0	0	NA	NA	0	-23804	ENST00000461614.1	novel	ENSG00000142627.13	ENSG00000142627.13	2	2	FALSE	0	764	0	0		
ENST00000375599.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375599.8	ENST00000375599.8	ENSG00000132881.12	ENSG00000132881.12	5	5	FALSE	0	800	0	0	0	0
ENST00000401088.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000401088.9	ENST00000401088.9	ENSG00000055070.17	ENSG00000055070.17	4	4	FALSE	0	3024	0	0	0	0
ENST00000401089.3	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	-7	1862	0	-1862	ENST00000401089.3	ENST00000401089.3	ENSG00000055070.17	ENSG00000055070.17	3	2	TRUE	1	3348	0	0	7	-207
ENST00000492354.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000492354.1	ENST00000492354.1	ENSG00000055070.17	ENSG00000055070.17	3	3	FALSE	0	3005	0	0	0	0
ENST00000459640.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000459640.5	ENST00000459640.5	ENSG00000157191.20	ENSG00000157191.20	9	6	TRUE	3	399	0	0	0	0
ENST00000495593.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	176	0	176	0	76548	0	68895	0	ENST00000495593.1	ENST00000375408.7	ENSG00000074964.17	ENSG00000074964.17	2	2	FALSE	0	1176	-176	0	256	0
ENST00000251296.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000251296.4	ENST00000251296.4	ENSG00000117154.12	ENSG00000117154.12	10	10	FALSE	0	491	0	0	0	0
ENST00000235835.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000235835.8	ENST00000235835.8	ENSG00000053371.13	ENSG00000053371.13	7	7	FALSE	0	283	0	0	0	0
ENST00000375153.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375153.8	ENST00000375153.8	ENSG00000040487.13	ENSG00000040487.13	8	7	FALSE	0	1302	0	0	0	0
ENST00000400548.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000400548.6	ENST00000400548.6	ENSG00000040487.13	ENSG00000040487.13	8	6	FALSE	0	870	0	0	0	0
ENST00000482808.2	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	797	0	-797	ENST00000482808.2	ENST00000375144.6	ENSG00000077549.19	ENSG00000077549.19	8	7	TRUE	1	1376	0	0	0	33
ENST00000481464.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	-22	0	-21	0	ENST00000481464.5	ENST00000602450.1	ENSG00000173436.15	ENSG00000270136.6	5	2	TRUE	3	498	0	0	22	0
ENST00000602662.1	full-splice_match	fusion	multi-exon	multi-exon	0	0	0	0	NA	NA	0	-405	ENST00000602662.1	novel	ENSG00000158747.15	ENSG00000173436.15,ENSG00000158747.15	4	2	TRUE	2	1539	0	0		
ENST00000375108.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000375108.4	ENST00000375108.4	ENSG00000127472.11	ENSG00000127472.11	5	4	FALSE	0	1504	0	0	0	0
ENST00000489020.1	full-splice_match	novel_not_in_catalog	multi-exon	at_least_one_novel_splicesite	0	0	0	0	NA	NA	976	0	ENST00000489020.1	novel	ENSG00000162545.6	ENSG00000162545.6	2	2	FALSE	0	707	0	0		
ENST00000477229.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	5310	0	-5310	ENST00000477229.1	ENST00000464364.1	ENSG00000244038.11	ENSG00000244038.11	2	2	FALSE	0	370	0	0	0	131
ENST00000312239.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000312239.10	ENST00000438032.6	ENSG00000127483.19	ENSG00000127483.19	13	12	FALSE	0	2225	0	0	0	0
ENST00000264205.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000264205.10	ENST00000264205.10	ENSG00000117298.16	ENSG00000117298.16	18	18	FALSE	0	80	0	0	0	0
ENST00000357071.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000357071.8	ENST00000357071.8	ENSG00000117298.16	ENSG00000117298.16	17	17	FALSE	0	1489	0	0	0	0
ENST00000318220.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	105	0	0	0	0	0	0	ENST00000318220.10	ENST00000318220.10	ENSG00000142794.19	ENSG00000142794.19	18	2	TRUE	15	4137	0	-105	0	0
ENST00000478653.6	full-splice_match	novel_not_in_catalog	multi-exon	at_least_one_novel_splicesite	0	0	0	0	NA	NA	0	3532	ENST00000478653.6	novel	ENSG00000142794.19	ENSG00000142794.19	3	2	FALSE	0	1240	0	0		
ENST00000374840.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374840.8	ENST00000374840.8	ENSG00000162551.14	ENSG00000162551.14	12	11	FALSE	0	964	0	0	0	0
ENST00000611549.4	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	5767	0	-5070	ENST00000611549.4	ENST00000374763.6	ENSG00000076864.21	ENSG00000076864.21	25	16	TRUE	6	2443	0	0	0	168
ENST00000315554.13	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000315554.13	ENST00000315554.13	ENSG00000070831.17	ENSG00000070831.17	6	5	FALSE	0	862	0	0	0	0
ENST00000498236.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000498236.1	ENST00000498236.1	ENSG00000070831.17	ENSG00000070831.17	7	2	TRUE	4	693	0	0	0	0
ENST00000656825.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	8409	0	5	0	0	0	0	ENST00000656825.1	ENST00000648594.1	ENSG00000070831.17	ENSG00000070831.17	6	5	FALSE	0	1521	0	-8409	0	0
ENST00000667384.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000667384.1	ENST00000667384.1	ENSG00000070831.17	ENSG00000070831.17	5	4	FALSE	0	3968	0	0	0	0
ENST00000509305.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	102	0	-102	-6	0	-6	0	ENST00000509305.6	ENST00000509305.6	ENSG00000173369.17	ENSG00000173369.17	3	2	FALSE	0	237	0	-102	6	0
ENST00000686793.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	434	0	434	0	51628	0	-6009	0	ENST00000686793.1	ENST00000690627.1	ENSG00000004487.18	ENSG00000004487.18	11	9	FALSE	0	484	-434	0	0	0
ENST00000314011.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000314011.9	ENST00000314011.9	ENSG00000125945.15	ENSG00000125945.15	4	3	FALSE	0	3055	0	0	0	0
ENST00000374561.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374561.6	ENST00000374561.6	ENSG00000117318.9	ENSG00000117318.9	3	2	TRUE	1	593	0	0	0	0
ENST00000613537.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000613537.5	ENST00000613537.5	ENSG00000011007.13	ENSG00000011007.13	11	11	FALSE	0	2522	0	0	0	0
ENST00000246151.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000246151.9	ENST00000246151.9	ENSG00000057757.10	ENSG00000057757.10	6	6	FALSE	0	957	0	0	0	0
ENST00000374502.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374502.7	ENST00000374502.7	ENSG00000011009.11	ENSG00000011009.11	8	7	FALSE	0	532	0	0	0	0
ENST00000459934.5	full-splice_match	novel_in_catalog	multi-exon	intron_retention	0	0	0	0	NA	NA	0	-18	ENST00000459934.5	novel	ENSG00000117308.15	ENSG00000117308.15	11	8	TRUE	1	483	0	0		
ENST00000374479.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374479.4	ENST00000374479.4	ENSG00000179163.12	ENSG00000179163.12	8	8	FALSE	0	645	0	0	0	0
ENST00000374468.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	303	0	112	0	0	0	0	ENST00000374468.1	ENST00000579103.1	ENSG00000189266.13	ENSG00000189266.13	3	2	FALSE	0	343	0	-303	0	0
ENST00000453840.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000453840.7	ENST00000453840.7	ENSG00000188529.15	ENSG00000188529.15	6	6	FALSE	0	1262	0	0	0	0
ENST00000484146.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000484146.6	ENST00000484146.6	ENSG00000188529.15	ENSG00000188529.15	5	5	FALSE	0	594	0	0	0	0
ENST00000337248.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000337248.9	ENST00000337248.9	ENSG00000001460.18	ENSG00000001460.18	9	8	FALSE	0	1724	0	0	0	0
ENST00000003583.12	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	-22	25456	0	-4388	ENST00000003583.12	ENST00000003583.12	ENSG00000001460.18	ENSG00000001460.18	8	2	TRUE	5	2472	0	0	22	-100
ENST00000468303.5	full-splice_match	novel_not_in_catalog	multi-exon	at_least_one_novel_splicesite	0	0	0	0	NA	NA	0	-12422	ENST00000468303.5	novel	ENSG00000001460.18	ENSG00000001460.18	10	2	TRUE	7	5914	0	0		
ENST00000374379.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374379.9	ENST00000488683.1	ENSG00000169504.15	ENSG00000169504.15	6	6	FALSE	0	3494	0	0	0	0
ENST00000476231.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	8745	0	-8745	ENST00000476231.1	ENST00000236273.9	ENSG00000117614.10	ENSG00000117614.10	2	2	FALSE	0	1740	0	0	0	90
ENST00000568399.1	full-splice_match	antisense	multi-exon	multi-exon	0	0	0	0	NA	NA	NA	NA	ENST00000568399.1	novel	ENSG00000117616.18	novelGene_ENSG00000187010.21_AS	2	2	FALSE	0	452	0	0		
ENST00000374358.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374358.5	ENST00000374358.5	ENSG00000183726.11	ENSG00000183726.11	7	6	FALSE	0	1795	0	0	0	0
ENST00000480937.5	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	312	0	0	NA	NA	0	0	ENST00000480937.5	novel	ENSG00000183726.11	ENSG00000183726.11	6	5	FALSE	0	412	0	-312		
ENST00000498135.5	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	0	0	0	NA	NA	0	-9074	ENST00000498135.5	novel	ENSG00000183726.11	ENSG00000183726.11	6	2	TRUE	3	680	0	0		
ENST00000374343.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374343.5	ENST00000374343.5	ENSG00000204178.11	ENSG00000204178.11	11	11	FALSE	0	1948	0	0	0	0
ENST00000487493.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	34332	0	34332	0	ENST00000487493.1	ENST00000374329.1	ENSG00000117643.15	ENSG00000117643.15	3	3	FALSE	0	842	0	0	-110	0
ENST00000426559.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	251	0	-251	0	0	0	0	ENST00000426559.6	ENST00000426559.6	ENSG00000117632.23	ENSG00000117632.23	5	4	FALSE	0	175	0	-251	0	0
ENST00000374269.2	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000374269.2	ENST00000619836.4	ENSG00000175087.10	ENSG00000175087.10	3	2	FALSE	0	3090	0	0	0	0
ENST00000407889.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000407889.6	ENST00000448923.2	ENSG00000236782.7	ENSG00000236782.7	4	2	TRUE	2	505	0	0	0	0
