ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
TCONS_00000207_ORF_1_ORF_3	2473	+	1	2110	2367	258	0.7479	-0.171055852626988	0.0282637170501819
TCONS_00000207_ORF_1_ORF_4	2473	+	2	1949	2170	222	0.7346	-0.167832002638062	0.0185866334406405
TCONS_00000207_ORF_1_ORF_5	2473	+	3	2244	2453	210	0.6378	0.171801869495054	0.0852159968433317
TCONS_00000207_ORF_1_ORF_6	2473	+	2	1283	1480	198	0.9742	0.0504435405455049	0.110606533458019
TCONS_00000207_ORF_1_ORF_7	2473	+	2	1496	1642	147	1.217	-0.168517117951676	0.0412143879121543
TCONS_00000207_ORF_1_ORF_8	2473	+	3	21	86	66	0.9268	-0.354650111870399	0.00206003920507425
TCONS_00000283_ORF_1_ORF_1	3134	+	1	199	1920	1722	1.0907	0.384441806795154	0.999999971053471
TCONS_00000283_ORF_1_ORF_2	3134	+	1	2311	2886	576	0.9987	-0.0142588262197837	0.858150641312333
TCONS_00000283_ORF_1_ORF_3	3134	+	3	1932	2270	339	0.4783	-0.103427891040166	0.0396766283658346
TCONS_00000283_ORF_1_ORF_4	3134	+	2	1061	1354	294	1.3082	-0.178345379923642	0.21690858675185
TCONS_00000283_ORF_1_ORF_5	3134	+	2	2426	2713	288	0.913	0.352613693772932	0.624521472898885
TCONS_00000283_ORF_1_ORF_6	3134	+	2	2771	3028	258	0.7479	-0.171055852626988	0.0272851327205267
TCONS_00000283_ORF_1_ORF_7	3134	+	3	2610	2831	222	0.7346	-0.167832002638062	0.0179369174644855
TCONS_00000283_ORF_1_ORF_8	3134	+	1	2905	3114	210	0.6378	0.171801869495054	0.0824328095613141
TCONS_00000283_ORF_1_ORF_9	3134	+	2	1529	1738	210	0.888	0.0813129081354383	0.109449901298602
TCONS_00000283_ORF_1_ORF_10	3134	+	1	1936	2040	105	0.9464	-0.12961260641339	0.0127457141068184
TCONS_00000283_ORF_1_ORF_11	3134	+	2	362	412	51	1.1862	0.145309831869569	0.0787873730067578
TCONS_00000285_ORF_1_ORF_1	3096	+	2	299	1882	1584	0.8336	0.300368554109877	0.999999453392117
TCONS_00000285_ORF_1_ORF_2	3096	+	2	2273	2848	576	0.9987	-0.0142588262197837	0.858404083406705
TCONS_00000285_ORF_1_ORF_3	3096	+	1	1894	2232	339	0.4783	-0.103427891040166	0.0397560942660309
TCONS_00000285_ORF_1_ORF_4	3096	+	3	2388	2675	288	0.913	0.352613693772932	0.62500993584469
TCONS_00000285_ORF_1_ORF_5	3096	+	3	2733	2990	258	0.7479	-0.171055852626988	0.0273404870249211
TCONS_00000285_ORF_1_ORF_6	3096	+	1	2572	2793	222	0.7346	-0.167832002638062	0.0179736571501214
TCONS_00000285_ORF_1_ORF_7	3096	+	2	2867	3076	210	0.6378	0.171801869495054	0.0825905444640946
TCONS_00000285_ORF_1_ORF_8	3096	+	3	1491	1700	210	0.888	0.0813129081354383	0.109653155291721
TCONS_00000285_ORF_1_ORF_9	3096	+	3	795	962	168	1.2038	0.0644948832192575	0.171133186130561
TCONS_00000285_ORF_1_ORF_10	3096	+	2	1898	2002	105	0.9464	-0.12961260641339	0.0127719590806152
TCONS_00000285_ORF_1_ORF_11	3096	+	1	1	66	66	0.9268	-0.354650111870399	0.0019909945999047
TCONS_00000285_ORF_1_ORF_12	3096	+	1	1063	1113	51	1.2516	0.577993198111417	0.597301146938868
TCONS_00000281_ORF_1_ORF_1	3468	+	3	510	3047	2538	1.2256	0.494759473930196	0.999999999998972
TCONS_00000281_ORF_1_ORF_2	3468	+	1	1909	2202	294	1.3082	-0.178345379923642	0.213813974716979
TCONS_00000281_ORF_1_ORF_3	3468	+	3	3105	3362	258	0.7479	-0.171055852626988	0.0268032616421886
TCONS_00000281_ORF_1_ORF_4	3468	+	1	2944	3165	222	0.7346	-0.167832002638062	0.0176171511385397
TCONS_00000281_ORF_1_ORF_5	3468	+	2	3239	3448	210	0.6378	0.171801869495054	0.0810581591262663
TCONS_00000281_ORF_1_ORF_6	3468	+	1	2377	2574	198	0.9742	0.0504435405455049	0.105352520935835
TCONS_00000281_ORF_1_ORF_7	3468	+	1	2590	2736	147	1.217	-0.168517117951676	0.0391116741788657
TCONS_00000281_ORF_1_ORF_8	3468	+	2	293	361	69	0.8787	0.088388076472849	0.0245714272963368
TCONS_00000281_ORF_1_ORF_9	3468	+	1	1210	1260	51	1.1862	0.145309831869569	0.0774683814191362
TCONS_00000097_ORF_1_ORF_1	1058	+	3	438	785	348	1.2349	0.496067237656675	0.963527506241957
TCONS_00000097_ORF_1_ORF_2	1058	+	2	365	517	153	1.2366	0.0522794995784403	0.168716989904887
TCONS_00000097_ORF_1_ORF_3	1058	+	2	89	235	147	0.4215	-0.0908640200865929	0.00477157053138157
TCONS_00000097_ORF_1_ORF_4	1058	+	1	490	591	102	1.2025	0.000219820114411112	0.0692165165195745
TCONS_00000097_ORF_1_ORF_5	1058	+	1	934	1029	96	0.4924	-0.162555469769414	0.00223446932691779
TCONS_00000097_ORF_1_ORF_6	1058	+	1	637	714	78	1.2036	-0.251265838146067	0.0122538298480045
TCONS_00000097_ORF_1_ORF_7	1058	+	3	45	116	72	0.443	-0.212652128348717	0.00106436428694241
TCONS_00000097_ORF_1_ORF_8	1058	+	3	300	353	54	0.5176	-0.0740833316400357	0.00260513882459636
TCONS_00000235_ORF_1_ORF_1	5326	+	2	2123	4864	2742	1.2551	0.474194997025975	0.999999999999881
TCONS_00000235_ORF_1_ORF_2	5326	+	1	1285	2424	1140	1.0975	0.352458575973938	0.999973955410932
TCONS_00000235_ORF_1_ORF_3	5326	+	2	137	556	420	0.766	0.0756702956818548	0.420208636273849
TCONS_00000235_ORF_1_ORF_4	5326	+	2	1418	1699	282	1.2924	-0.110926362521288	0.234411723462007
TCONS_00000235_ORF_1_ORF_5	5326	+	2	1115	1288	174	1.0204	-0.0477104063025999	0.0499321757639435
TCONS_00000235_ORF_1_ORF_6	5326	+	3	2313	2462	150	1.2808	-0.100939833452893	0.0666240003208164
TCONS_00000235_ORF_1_ORF_7	5326	+	1	5191	5325	135	0.7523	-0.542820152214043	0.000667808354905919
TCONS_00000235_ORF_1_ORF_8	5326	+	3	3141	3260	120	0.7966	0.0631955224246687	0.0253702957001103
TCONS_00000235_ORF_1_ORF_9	5326	+	3	1569	1682	114	1.1711	-0.149949811887152	0.0237053153945034
TCONS_00000235_ORF_1_ORF_10	5326	+	2	1874	1972	99	0.8505	-0.224487233811397	0.00430630860388908
TCONS_00000235_ORF_1_ORF_11	5326	+	1	2566	2652	87	1.0875	0.0279991782484607	0.0381080716587195
TCONS_00000235_ORF_1_ORF_12	5326	+	3	3264	3341	78	0.9657	-0.221589747901048	0.0051499446913711
TCONS_00000235_ORF_1_ORF_13	5326	+	3	4095	4172	78	1.0113	-0.140499291028732	0.00981154185967941
TCONS_00000235_ORF_1_ORF_14	5326	+	3	678	752	75	0.8393	0.0394803513820208	0.0155404526720473
TCONS_00000235_ORF_1_ORF_15	5326	+	3	1908	1958	51	0.8134	-0.277523426583955	0.00160969110786153
TCONS_00000118_ORF_1_ORF_1	1339	+	1	220	1086	867	1.215	0.555124919870302	0.999913466370169
TCONS_00000118_ORF_1_ORF_2	1339	+	2	260	457	198	1.0037	0.0045809230302914	0.0998405574171747
TCONS_00000118_ORF_1_ORF_3	1339	+	2	671	793	123	1.1988	-0.0167395734692894	0.0762151140214445
TCONS_00000246_ORF_1_ORF_1	3991	+	1	1888	3570	1683	1.1722	0.453044245129872	0.999999976628376
TCONS_00000246_ORF_1_ORF_2	3991	+	2	461	808	348	0.7192	-0.0928732286917184	0.0963603302888119
TCONS_00000246_ORF_1_ORF_3	3991	+	2	2432	2725	294	1.3082	-0.178345379923642	0.209033045819382
TCONS_00000246_ORF_1_ORF_4	3991	+	1	3628	3885	258	0.7479	-0.171055852626988	0.0260652973556319
TCONS_00000246_ORF_1_ORF_5	3991	+	2	3467	3688	222	0.7346	-0.167832002638062	0.0171276534392981
TCONS_00000246_ORF_1_ORF_6	3991	+	3	3762	3971	210	0.6378	0.171801869495054	0.0789475931308645
TCONS_00000246_ORF_1_ORF_7	3991	+	2	2900	3097	198	0.9742	0.0504435405455049	0.102680067755185
TCONS_00000246_ORF_1_ORF_8	3991	+	3	60	236	177	0.8511	-0.0462663832999057	0.0318623982601663
TCONS_00000246_ORF_1_ORF_9	3991	+	2	47	211	165	0.926	0.0401280772497575	0.0592036773680666
TCONS_00000246_ORF_1_ORF_10	3991	+	2	3113	3259	147	1.217	-0.168517117951676	0.0380480758838616
TCONS_00000246_ORF_1_ORF_11	3991	+	1	805	912	108	1.0352	-0.00321910663365899	0.0359137599124972
TCONS_00000246_ORF_1_ORF_12	3991	+	1	187	282	96	0.7268	-0.0551388634181728	0.0081424810719796
TCONS_00000246_ORF_1_ORF_13	3991	+	1	1039	1113	75	0.5924	-0.132168327204547	0.00255240314741849
TCONS_00000246_ORF_1_ORF_14	3991	+	1	1429	1500	72	1.2096	0.012195324491546	0.0475119543700038
TCONS_00000246_ORF_1_ORF_15	3991	+	3	1590	1655	66	0.9268	-0.354650111870399	0.00189582797843893
TCONS_00000246_ORF_1_ORF_16	3991	+	1	37	99	63	0.4201	-0.178382306990283	0.000932410477371889
TCONS_00000292_ORF_1_ORF_1	1447	+	2	539	955	417	1.0764	0.310344604568946	0.913035914370447
TCONS_00000292_ORF_1_ORF_2	1447	+	3	270	482	213	0.7236	-0.0103648942049249	0.0433824164994611
TCONS_00000292_ORF_1_ORF_3	1447	+	3	711	854	144	1.0382	-0.0884275625654065	0.0371642688445652
TCONS_00000292_ORF_1_ORF_4	1447	+	1	253	354	102	0.845	0.0169712979011097	0.0229588099637181
TCONS_00000292_ORF_1_ORF_5	1447	+	1	1291	1374	84	0.9658	0.0364258282605029	0.0317458004803313
TCONS_00000292_ORF_1_ORF_6	1447	+	1	502	579	78	0.9011	-0.0503115041061783	0.0142838481428886
TCONS_00000231_ORF_1_ORF_1	3574	+	2	2093	3112	1020	1.2197	0.454630299565819	0.999968022669846
TCONS_00000231_ORF_1_ORF_2	3574	+	1	82	984	903	1.153	0.538719212645089	0.999910557529036
TCONS_00000231_ORF_1_ORF_3	3574	+	1	1288	1509	222	0.7002	-0.149648488609971	0.0173755946287764
TCONS_00000231_ORF_1_ORF_4	3574	+	1	1543	1737	195	0.8015	-0.268877352856407	0.00891074513802622
TCONS_00000231_ORF_1_ORF_5	3574	+	1	1750	1914	165	0.5466	-0.0706856546903986	0.00880856799978564
TCONS_00000231_ORF_1_ORF_6	3574	+	3	1248	1406	159	0.7411	-0.156720991656201	0.0095471330165783
TCONS_00000231_ORF_1_ORF_7	3574	+	2	1775	1927	153	0.4448	-0.209888572572832	0.00234509816646349
TCONS_00000231_ORF_1_ORF_8	3574	+	2	1295	1432	138	0.9308	-0.158814533022562	0.0142641134359472
TCONS_00000231_ORF_1_ORF_9	3574	+	1	3439	3573	135	0.7523	-0.542820152214043	0.000735093942935118
TCONS_00000231_ORF_1_ORF_10	3574	+	2	254	373	120	0.7966	0.0631955224246687	0.0278571205431324
TCONS_00000231_ORF_1_ORF_11	3574	+	3	1086	1196	111	0.9505	-0.0949057975327717	0.016593890915381
TCONS_00000231_ORF_1_ORF_12	3574	+	2	377	454	78	0.9657	-0.221589747901048	0.00566627106009037
TCONS_00000231_ORF_1_ORF_13	3574	+	3	2343	2420	78	1.0113	-0.140499291028732	0.0107901644923877
TCONS_00000231_ORF_1_ORF_14	3574	+	1	1927	1998	72	0.6414	-0.49480015536188	0.000331847949758852
TCONS_00000231_ORF_1_ORF_15	3574	+	2	1511	1573	63	0.7792	-0.478384539622106	0.000532945842154398
TCONS_00000231_ORF_1_ORF_16	3574	+	3	2019	2078	60	0.8746	-0.173047225481281	0.0045485400107208
TCONS_00000231_ORF_1_ORF_17	3574	+	3	1665	1718	54	0.5911	-0.44126119233748	0.000315705217837581
TCONS_00000231_ORF_1_ORF_18	3574	+	3	987	1037	51	0.9137	-0.0745407657970867	0.00852211841739288
TCONS_00000186_ORF_2_ORF_1	1093	+	2	848	1030	183	0.7085	-0.0199180671801726	0.0287597438538028
TCONS_00000186_ORF_2_ORF_2	1093	+	1	544	720	177	1.1872	0.410794282952552	0.663095009625034
TCONS_00000186_ORF_2_ORF_3	1093	+	3	69	215	147	0.4215	-0.0908640200865929	0.0047624657851249
TCONS_00000186_ORF_2_ORF_4	1093	+	1	787	930	144	1.0981	0.461459473906704	0.576452423654395
TCONS_00000186_ORF_2_ORF_5	1093	+	3	345	452	108	0.6412	0.0506289304277491	0.0153287260940748
TCONS_00000186_ORF_2_ORF_6	1093	+	1	358	435	78	0.8063	-0.248296581928157	0.00319474381454418
TCONS_00000186_ORF_2_ORF_7	1093	+	2	596	673	78	1.1559	0.0968455134149486	0.0799151407892337
TCONS_00000186_ORF_2_ORF_8	1093	+	1	25	96	72	0.443	-0.212652128348717	0.00106232579762894
TCONS_00000186_ORF_2_ORF_9	1093	+	1	280	333	54	0.5176	-0.0740833316400357	0.00260015709765593
TCONS_00000186_ORF_2_ORF_10	1093	+	3	723	776	54	0.9185	-0.19606242580024	0.0049283407111704
TCONS_00000188_ORF_1_ORF_1	587	+	2	362	586	225	1.1965	0.723404522555936	0.959725970068925
TCONS_00000188_ORF_1_ORF_2	587	+	1	289	441	153	1.2366	0.0522794995784403	0.17237011269946
TCONS_00000188_ORF_1_ORF_3	587	+	1	13	159	147	0.4215	-0.0908640200865929	0.00489579272578647
TCONS_00000188_ORF_1_ORF_4	587	+	3	414	515	102	1.2025	0.000219820114411112	0.0708989657538361
TCONS_00000188_ORF_1_ORF_5	587	+	2	224	277	54	0.5176	-0.0740833316400357	0.00267311201988065
TCONS_00000194_ORF_1_ORF_1	2049	+	1	1	2049	2049	1.1605	0.444857853364027	0.999999999616989
TCONS_00000194_ORF_1_ORF_2	2049	+	2	911	1204	294	1.3082	-0.178345379923642	0.227183864854347
TCONS_00000194_ORF_1_ORF_3	2049	+	2	1379	1576	198	0.9742	0.0504435405455049	0.112914336204602
TCONS_00000194_ORF_1_ORF_4	2049	+	2	1592	1738	147	1.217	-0.168517117951676	0.0421429306702979
TCONS_00000194_ORF_1_ORF_5	2049	+	2	1946	2047	102	0.982	0.0171241999668681	0.0352077889168463
TCONS_00000194_ORF_1_ORF_6	2049	+	2	164	214	51	1.1862	0.145309831869569	0.083214936607884
TCONS_00000211_ORF_1_ORF_1	1948	+	3	36	1526	1491	1.2102	0.455143141184191	0.999999844936664
TCONS_00000211_ORF_1_ORF_2	1948	+	1	388	681	294	1.3082	-0.178345379923642	0.228157640574451
TCONS_00000211_ORF_1_ORF_3	1948	+	3	1584	1841	258	0.7479	-0.171055852626988	0.0290651605657706
TCONS_00000211_ORF_1_ORF_4	1948	+	1	1423	1644	222	0.7346	-0.167832002638062	0.0191190733263796
TCONS_00000211_ORF_1_ORF_5	1948	+	2	1718	1927	210	0.6378	0.171801869495054	0.0874869791818138
TCONS_00000211_ORF_1_ORF_6	1948	+	1	856	1053	198	0.9742	0.0504435405455049	0.113470234390075
TCONS_00000211_ORF_1_ORF_7	1948	+	1	1069	1215	147	1.217	-0.168517117951676	0.0423670486319627
TCONS_00000215_ORF_1_ORF_1	1916	+	3	1008	1424	417	1.0764	0.310344604568946	0.910972234242221
TCONS_00000215_ORF_1_ORF_2	1916	+	2	788	1048	261	0.7475	0.00371314949154993	0.0820937460501185
TCONS_00000215_ORF_1_ORF_3	1916	+	1	1180	1323	144	1.0382	-0.0884275625654065	0.0362549487236987
TCONS_00000215_ORF_1_ORF_4	1916	+	3	276	407	132	0.889	0.0714139480707129	0.0493194300870338
TCONS_00000215_ORF_1_ORF_5	1916	+	1	259	360	102	0.845	0.0169712979011097	0.0223889810156581
TCONS_00000215_ORF_1_ORF_6	1916	+	2	683	766	84	0.4435	-0.34190425688837	0.000531265058160188
TCONS_00000215_ORF_1_ORF_7	1916	+	2	1760	1843	84	0.9658	0.0364258282605029	0.0309647935543945
TCONS_00000206_ORF_1_ORF_1	4090	+	1	1888	3669	1782	1.1412	0.433879189158209	0.999999990296192
TCONS_00000206_ORF_1_ORF_2	4090	+	2	461	808	348	0.7192	-0.0928732286917184	0.0958886958226339
TCONS_00000206_ORF_1_ORF_3	4090	+	2	2432	2725	294	1.3082	-0.178345379923642	0.208136958403835
TCONS_00000206_ORF_1_ORF_4	4090	+	1	3727	3984	258	0.7479	-0.171055852626988	0.0259278491209256
TCONS_00000206_ORF_1_ORF_5	4090	+	2	3566	3787	222	0.7346	-0.167832002638062	0.017036511008025
TCONS_00000206_ORF_1_ORF_6	4090	+	3	3861	4070	210	0.6378	0.171801869495054	0.0785537763257766
TCONS_00000206_ORF_1_ORF_7	4090	+	2	2900	3097	198	0.9742	0.0504435405455049	0.102180999099399
TCONS_00000206_ORF_1_ORF_8	4090	+	3	60	236	177	0.8511	-0.0462663832999057	0.0316953754357268
TCONS_00000206_ORF_1_ORF_9	4090	+	2	47	211	165	0.926	0.0401280772497575	0.0589020513048107
TCONS_00000206_ORF_1_ORF_10	4090	+	2	3113	3259	147	1.217	-0.168517117951676	0.0378498953991374
TCONS_00000206_ORF_1_ORF_11	4090	+	1	805	912	108	1.0352	-0.00321910663365899	0.0357262835320972
TCONS_00000206_ORF_1_ORF_12	4090	+	1	187	282	96	0.7268	-0.0551388634181728	0.00809875801211365
TCONS_00000206_ORF_1_ORF_13	4090	+	1	1039	1113	75	0.5924	-0.132168327204547	0.00253862056124309
TCONS_00000206_ORF_1_ORF_14	4090	+	1	1429	1500	72	1.2096	0.012195324491546	0.0472669016631945
TCONS_00000206_ORF_1_ORF_15	4090	+	3	1590	1655	66	0.9268	-0.354650111870399	0.0018855840953752
TCONS_00000206_ORF_1_ORF_16	4090	+	1	37	99	63	0.4201	-0.178382306990283	0.000927367470460717
TCONS_00000098_ORF_2_ORF_1	446	+	3	216	398	183	0.7085	-0.0199180671801726	0.0297674171993656
TCONS_00000098_ORF_2_ORF_2	446	+	2	155	298	144	1.0981	0.461459473906704	0.585089695574306
TCONS_00000098_ORF_2_ORF_3	446	+	1	91	144	54	0.9185	-0.19606242580024	0.00510540733101177
TCONS_00000213_ORF_1_ORF_1	1141	+	2	161	649	489	0.9552	0.303337080978663	0.937804597932953
TCONS_00000213_ORF_1_ORF_2	1141	+	3	405	548	144	1.0382	-0.0884275625654065	0.0377693352648757
TCONS_00000213_ORF_1_ORF_3	1141	+	3	144	245	102	0.845	0.0169712979011097	0.0233382051687356
TCONS_00000213_ORF_1_ORF_4	1141	+	1	985	1068	84	0.9658	0.0364258282605029	0.0322656058053137
TCONS_00000096_ORF_1_ORF_1	1111	+	2	59	916	858	1.1641	0.600550412087748	0.999914498880238
TCONS_00000096_ORF_1_ORF_2	1111	+	3	111	212	102	1.2025	0.000219820114411112	0.0690295262561026
TCONS_00000096_ORF_1_ORF_3	1111	+	3	471	572	102	1.0548	-0.160787015273938	0.0164981043342597
TCONS_00000096_ORF_1_ORF_4	1111	+	3	723	800	78	1.1628	-0.249923637370653	0.0107186563740292
TCONS_00000096_ORF_1_ORF_5	1111	+	3	258	326	69	1.2508	-0.350113020144447	0.00717245352299419
TCONS_00000096_ORF_1_ORF_6	1111	+	2	1034	1087	54	0.8083	-0.323966321900789	0.00155482914541688
TCONS_00000096_ORF_1_ORF_7	1111	+	3	1056	1109	54	0.6972	-0.458537644119019	0.00046900405574347
TCONS_00000122_ORF_1_ORF_1	879	+	3	327	620	294	1.2322	0.879282774534366	0.993279607751567
TCONS_00000122_ORF_1_ORF_2	879	+	1	205	327	123	1.1988	-0.0167395734692894	0.0780100211707013
TCONS_00000247_ORF_1_ORF_1	4137	+	1	1888	3243	1356	1.0401	0.378263584417042	0.999997730982511
TCONS_00000247_ORF_1_ORF_2	4137	+	3	3255	3716	462	1.1926	0.480532840086462	0.984335130469251
TCONS_00000247_ORF_1_ORF_3	4137	+	2	461	808	348	0.7192	-0.0928732286917184	0.0956655117246527
TCONS_00000247_ORF_1_ORF_4	4137	+	2	2384	2677	294	1.3082	-0.178345379923642	0.207712535580188
TCONS_00000247_ORF_1_ORF_5	4137	+	3	3774	4031	258	0.7479	-0.171055852626988	0.0258628431361272
TCONS_00000247_ORF_1_ORF_6	4137	+	1	3613	3834	222	0.7346	-0.167832002638062	0.0169934083720789
TCONS_00000247_ORF_1_ORF_7	4137	+	2	2852	3061	210	0.888	0.0813129081354383	0.104203438286971
TCONS_00000247_ORF_1_ORF_8	4137	+	2	3908	4117	210	0.6378	0.171801869495054	0.0783674425355769
TCONS_00000247_ORF_1_ORF_9	4137	+	3	60	236	177	0.8511	-0.0462663832999057	0.0316163785304632
TCONS_00000247_ORF_1_ORF_10	4137	+	2	47	211	165	0.926	0.0401280772497575	0.0587593598938968
TCONS_00000247_ORF_1_ORF_11	4137	+	1	3259	3405	147	1.217	-0.168517117951676	0.0377561572084753
TCONS_00000247_ORF_1_ORF_12	4137	+	1	805	912	108	1.0352	-0.00321910663365899	0.0356376098286083
TCONS_00000247_ORF_1_ORF_13	4137	+	1	187	282	96	0.7268	-0.0551388634181728	0.00807808219646019
TCONS_00000247_ORF_1_ORF_14	4137	+	1	1039	1113	75	0.5924	-0.132168327204547	0.00253210332502728
TCONS_00000247_ORF_1_ORF_15	4137	+	1	1429	1500	72	1.2096	0.012195324491546	0.0471509844405476
TCONS_00000247_ORF_1_ORF_16	4137	+	3	1590	1655	66	0.9268	-0.354650111870399	0.00188074019631801
TCONS_00000247_ORF_1_ORF_17	4137	+	1	37	99	63	0.4201	-0.178382306990283	0.000924982864094033
TCONS_00000173_ORF_2_ORF_1	3174	+	1	2242	2613	372	0.9345	0.0112363905789017	0.365611591732195
TCONS_00000173_ORF_2_ORF_2	3174	+	1	955	1230	276	1.263	0.777648196203001	0.984603114439825
TCONS_00000173_ORF_2_ORF_3	3174	+	2	2264	2521	258	0.6945	-0.115495652810056	0.0315884222246157
TCONS_00000173_ORF_2_ORF_4	3174	+	3	2022	2273	252	0.5193	0.0195451173631507	0.03645737846414
TCONS_00000173_ORF_2_ORF_5	3174	+	1	175	399	225	0.7818	0.147494881421337	0.130649593758981
TCONS_00000173_ORF_2_ORF_6	3174	+	2	1988	2170	183	0.4817	0.00364010778040485	0.0137541959060727
TCONS_00000173_ORF_2_ORF_7	3174	+	2	2987	3163	177	1.1997	-0.0481154872441216	0.101680700170142
TCONS_00000173_ORF_2_ORF_8	3174	+	3	255	395	141	0.7349	0.0171136458872906	0.0221424927538065
TCONS_00000173_ORF_2_ORF_9	3174	+	3	1617	1742	126	0.6852	0.249838714054157	0.0621075874984647
TCONS_00000173_ORF_2_ORF_10	3174	+	3	12	134	123	0.873	-0.0524202549671405	0.0191683019836275
TCONS_00000173_ORF_2_ORF_11	3174	+	1	2110	2229	120	0.6924	-0.0339709895333014	0.0112140553000938
TCONS_00000173_ORF_2_ORF_12	3174	+	2	1313	1432	120	0.7228	0.114143886643587	0.0300111950077238
TCONS_00000173_ORF_2_ORF_13	3174	+	1	1753	1854	102	0.8309	-0.210307517847746	0.00510043305707582
TCONS_00000173_ORF_2_ORF_14	3174	+	2	2888	2986	99	0.9519	0.12847109593488	0.0555158589921964
TCONS_00000173_ORF_2_ORF_15	3174	+	1	3097	3174	78	1.0803	0.107333830998888	0.0598293827570717
TCONS_00000173_ORF_2_ORF_16	3174	+	3	1416	1490	75	0.6146	-0.0624863868728261	0.00439015586291924
TCONS_00000173_ORF_2_ORF_17	3174	+	3	2865	2936	72	0.9178	-0.238945115306597	0.00413892111470104
TCONS_00000173_ORF_2_ORF_18	3174	+	2	2531	2590	60	1.348	-0.0226026410945446	0.0561665558589108
TCONS_00000173_ORF_2_ORF_19	3174	+	3	1296	1349	54	0.6097	-0.368583840929556	0.000534678666718131
TCONS_00000210_ORF_1_ORF_1	1623	+	3	39	1202	1164	1.2156	0.497436220649362	0.999995511993026
TCONS_00000210_ORF_1_ORF_2	1623	+	3	1260	1517	258	0.7479	-0.171055852626988	0.0295722948693246
TCONS_00000210_ORF_1_ORF_3	1623	+	1	1099	1320	222	0.7346	-0.167832002638062	0.0194561439746654
TCONS_00000210_ORF_1_ORF_4	1623	+	2	1394	1603	210	0.6378	0.171801869495054	0.0889201136943884
TCONS_00000210_ORF_1_ORF_5	1623	+	1	532	729	198	0.9742	0.0504435405455049	0.115275234410091
TCONS_00000210_ORF_1_ORF_6	1623	+	1	745	891	147	1.217	-0.168517117951676	0.0430959750112959
TCONS_00000195_ORF_1_ORF_1	1986	+	1	1	1986	1986	1.1083	0.441983324720621	0.999999999059108
TCONS_00000195_ORF_1_ORF_2	1986	+	2	911	1204	294	1.3082	-0.178345379923642	0.227790924864338
TCONS_00000195_ORF_1_ORF_3	1986	+	2	1379	1576	198	0.9742	0.0504435405455049	0.113260805083658
TCONS_00000195_ORF_1_ORF_4	1986	+	2	1592	1738	147	1.217	-0.168517117951676	0.0422825936663827
