Transcript length (including UTRs and CDS)	Gene name
241	
8000	MXRA5Y
1264	DUX4L16
1161	TSPY10
1125	TSPY10
1895	TSPY10
582	TSPY10
414	
1119	MTCYBP1
208	
696	USP9YP17
166	TTTY17A
1019	AGPAT5P1
1646	
630	TSPY20P
906	FAM41AY1
491	TTTY6B
332	ELOCP15
222	
673	TRIM60P3Y
368	MTND1P1
448	LINC00280
2355	LINC00280
371	
159	PRRC2CP1
1110	ZNF736P10Y
292	
452	
1161	TSPY1
1171	TSPY1
1015	CDY12P
890	
470	MTND2P3
1015	CDY13P
476	RBMY1KP
169	
496	TTTY21B
540	
625	
700	
7203	
1767	ARSDP1
1562	TTTY5
1513	CDY4P
1718	RBMY1D
1921	RBMY1D
1491	RBMY1D
1063	OR4C12
898	OR4C48P
921	OR4C45
900	OR4C49P
894	RBMY2WP
697	USP9YP24
605	
1628	TTTY10
1668	TTTY10
1469	TTTY10
2156	TTTY10
2135	TTTY10
1704	TTTY10
730	TTTY10
1917	TTTY10
1892	TTTY10
1409	TTTY10
1357	TTTY10
4474	TTTY10
3567	TTTY10
417	UBE2V1P3
1213	FAM8A4P
559	
759	
762	TRIM60P8Y
171	MED13P1
926	TSPY6P
204	CYCSP46
106	RNU6-303P
119	RNA5SP518
132	
292	RN7SL702P
113	RNA5SP520
116	RNA5SP521
107	RNU6-109P
152	RNA5-8SP6
119	RNA5SP519
107	RNU6-184P
1038	HSFY2
1476	HSFY2
1390	HSFY2
1444	HSFY2
144	GPM6BP2
1000	USP9YP2
331	ELOCP14
343	PRYP6
492	XKRYP2
628	USP9YP10
589	USP9YP28
162	RNU1-41P
1155	OFD1P7Y
171	MTCYBP2
861	ZNF839P1
243	CD24P4
105	RNU6-255P
842	
1005	GAPDHP19
1190	CLUHP1
515	TAF9P1
398	
1580	CDY5P
329	ELOCP36
445	PRYP1
1125	ACTG1P2
407	USP9YP23
438	USP9YP27
160	RNU1-128P
321	TRAPPC2P3
1225	OFD1P1Y
328	ELOCP6
1266	CDY6P
430	USP9YP7
854	USP9YP6
1604	CDY7P
808	USP9YP34
430	USP9YP32
1279	CDY8P
328	ELOCP12
396	TRAPPC2P8
422	USP9YP15
160	RNU1-95P
407	USP9YP16
1125	ACTG1P11
492	PRYP2
329	ELOCP26
1580	CDY9P
515	TAF9P2
1303	CLUHP2
2031	FAM224A
116	RNA5SP522
113	RNA5SP523
1300	TUBB1P1
906	FAM41AY2
329	ELOCP13
1179	OFD1P4Y
563	USP9YP14
162	RNU1-48P
630	USP9YP5
1483	
492	XKRYP1
266	PRYP5
331	ELOCP7
1002	USP9YP1
144	GPM6BP1
1501	TTTY9B
1637	TTTY9B
609	RAB9AP4
231	TRAPPC2P7
1127	TTTY14
7093	TTTY14
3528	TTTY14
3969	TTTY14
3935	TTTY14
3947	TTTY14
3840	TTTY14
4224	TTTY14
3413	TTTY14
4408	TTTY14
7621	TTTY14
1495	TTTY14
685	TTTY14
817	TTTY14
616	TTTY14
593	TTTY14
615	TTTY14
1186	TTTY14
827	TTTY14
640	TTTY14
802	TTTY14
541	TTTY14
2111	TTTY14
2266	TTTY14
2848	TTTY14
978	TTTY14
860	TTTY14
579	TTTY14
515	TTTY14
3232	TTTY14
920	TTTY14
471	TTTY14
570	
2666	
3286	
5625	
5501	KDM5D
6825	KDM5D
5579	KDM5D
5134	KDM5D
5235	KDM5D
4701	KDM5D
880	KDM5D
792	KDM5D
856	KDM5D
1336	KDM5D
66	MIR3649
484	ADIPOR2
3971	ADIPOR2
480	ADIPOR2
434	ADIPOR2
488	ADIPOR2
793	ADIPOR2
569	ADIPOR2
1979	
3470	
781	RPS4XP14
2876	CACNA2D4
5285	CACNA2D4
5936	CACNA2D4
4450	CACNA2D4
1615	CACNA2D4
1498	CACNA2D4
3883	CACNA2D4
976	CACNA2D4
676	CACNA2D4
3311	CACNA2D4
952	CACNA2D4
895	CACNA2D4
575	CACNA2D4
3499	CACNA2D4
550	CACNA2D4
3273	CACNA2D4
552	CACNA2D4
556	CACNA2D4
680	CACNA2D4
576	CACNA2D4
498	CACNA2D4
596	CACNA2D4
558	CACNA2D4
2566	CACNA2D4
499	CACNA2D4
404	CACNA2D4
687	
3986	LRTM2
654	LRTM2
559	LRTM2
2787	LRTM2
3653	LRTM2
638	LRTM2
537	LRTM2
540	LRTM2
3236	LRTM2
597	LRTM2
587	LRTM2
560	LRTM2
315	
2350	LINC00940
2033	DCP1B
2073	DCP1B
1547	DCP1B
839	DCP1B
948	DCP1B
598	DCP1B
2231	DCP1B
629	
687	CACNA1C-IT1
459	
1534	CACNA1C-AS4
735	CACNA1C-AS4
622	CACNA1C-IT3
1546	
1395	HSFY1
1038	HSFY1
1476	HSFY1
1374	HSFY1
3191	
444	CACNA1C-AS3
732	
609	CACNA1C-AS2
2191	CACNA1C-AS1
742	CACNA1C-AS1
575	CACNA1C-AS1
879	TGIF2LY
927	TGIF2LY
1862	RBMY1F
1718	RBMY1F
1810	RBMY1F
7047	CACNA1C
6750	CACNA1C
7059	CACNA1C
6553	CACNA1C
6582	CACNA1C
589	CACNA1C
1485	CACNA1C
8166	CACNA1C
8133	CACNA1C
13849	CACNA1C
13888	CACNA1C
13744	CACNA1C
7411	CACNA1C
8541	CACNA1C
1452	CACNA1C
7719	CACNA1C
3632	CACNA1C
6889	CACNA1C
6534	CACNA1C
6459	CACNA1C
6535	CACNA1C
6511	CACNA1C
6529	CACNA1C
6634	CACNA1C
6595	CACNA1C
6571	CACNA1C
6562	CACNA1C
6568	CACNA1C
6478	CACNA1C
1052	CACNA1C
1088	CACNA1C
669	CACNA1C
2363	CACNA1C
1069	CACNA1C
592	CACNA1C
3016	CACNA1C
2833	CACNA1C
1392	CACNA1C
819	CACNA1C
581	CACNA1C
1336	CACNA1C
1730	CACNA1C
1960	CDY2A
1465	ZNF736P3Y
816	TRIM60P9Y
7218	PRKY
1019	PRKY
480	PRKY
288	PRKY
299	RN7SKP282
112	Y_RNA
108	RNU6-941P
105	RNU6-521P
219	SRIP3
192	
546	GOT2P5
322	ATP5PFP1
2110	
751	TRIM60P10Y
1279	ZNF736P2Y
801	TRIM60P11Y
791	
1276	ZNF736P1Y
749	
805	ZNF736P5Y
1206	BPY2C
1010	BPY2C
321	BPY2C
559	BPY2C
1346	TTTY4C
3277	DAZ4
3910	DAZ4
3271	DAZ4
4272	DAZ4
2405	DAZ4
1891	DAZ4
2048	DAZ4
1832	DAZ4
1961	CDY2B
105	RNU6-1334P
828	SRY
502	RNASEH2CP1
237	TOMM22P2
1151	
1189	RPS4Y1
811	RPS4Y1
998	RPS4Y1
454	RPS4Y1
1089	NAP1L1P2
366	
5113	ZFY
5336	ZFY
2273	ZFY
678	ZFY
567	ZFY
3464	ZFY
803	ZFY
500	ZFY-AS1
419	ZFY-AS1
207	EEF1A1P41
741	PSMA6P1
1786	SFPQP1
556	DPPA2P1
2709	DDX3Y
1049	DDX3Y
528	DDX3Y
4408	DDX3Y
792	DDX3Y
507	DDX3Y
572	DDX3Y
621	DDX3Y
517	DDX3Y
591	SERTAD4-AS1
726	SERTAD4-AS1
413	SERTAD4-AS1
5222	SERTAD4
1103	SERTAD4
494	SERTAD4
378	SERTAD4
1124	ST13P19
857	
3164	HHAT
3575	HHAT
3639	HHAT
3446	HHAT
3507	HHAT
3626	HHAT
721	HHAT
2864	HHAT
2714	HHAT
2483	
114	RNU5A-8P
1477	
668	BPNT2P1
582	CASKP1
4571	UTY
3391	UTY
398	UTY
2098	UTY
4705	UTY
6529	UTY
6174	UTY
5239	UTY
4179	UTY
4008	UTY
4092	UTY
4170	UTY
4104	UTY
4200	UTY
3795	UTY
3636	UTY
4990	UTY
4325	UTY
747	UTY
1387	UTY
1539	UTY
686	UTY
1337	TMSB4Y
510	VCY
3417	DAZ3
3277	DAZ3
3372	DAZ3
2242	DAZ3
1502	DAZ3
4335	DAZ1
3268	DAZ1
2242	DAZ1
1846	DAZ1
947	
1114	
1036	
782	
921	
1110	
716	
1906	
464	
572	
545	
1915	BRD7P1
1013	
307	RN7SKP205
472	
809	
937	LINC00596
3360	DHRS4-AS1
2852	DHRS4-AS1
2759	DHRS4-AS1
2763	DHRS4-AS1
3270	DHRS4-AS1
3031	DHRS4-AS1
3887	DHRS4-AS1
2830	DHRS4-AS1
2609	DHRS4-AS1
2903	DHRS4-AS1
2503	DHRS4-AS1
2817	DHRS4-AS1
1492	DHRS4-AS1
585	DHRS4-AS1
584	DHRS4-AS1
509	DHRS4-AS1
1979	DHRS4-AS1
2768	
803	
493	
769	DHRS4L1
4589	CARMIL3
4319	CARMIL3
564	CARMIL3
2664	CARMIL3
639	PPP1R12BP2
138	SNORA70
102	
198	REREP1Y
727	
1157	RBMY2CP
392	RBMY2CP
672	
926	AMELY
621	AMELY
2233	CPNE6
2235	CPNE6
733	CPNE6
591	CPNE6
2772	CPNE6
543	CPNE6
657	CPNE6
453	CPNE6
964	CPNE6
590	CPNE6
548	CPNE6
573	CPNE6
589	CPNE6
575	CPNE6
1226	CPNE6
570	CPNE6
4540	CPNE6
2192	CPNE6
580	CPNE6
2312	TBL1Y
2376	TBL1Y
2396	TBL1Y
523	TBL1Y
1976	NRL
2103	NRL
1517	NRL
788	NRL
810	NRL
737	NRL
1804	PCK2
897	PCK2
1830	PCK2
756	PCK2
782	PCK2
2505	PCK2
1856	PCK2
2012	PCK2
2179	PCK2
2189	PCK2
559	PCK2
666	PCK2
2433	PCK2
826	PCK2
508	PCK2
525	PCK2
849	DCAF11
577	DCAF11
2711	DCAF11
581	DCAF11
568	DCAF11
947	DCAF11
748	DCAF11
4299	DCAF11
4202	DCAF11
476	DCAF11
543	DCAF11
603	DCAF11
549	DCAF11
545	DCAF11
300	DCAF11
578	DCAF11
641	DCAF11
522	DCAF11
590	DCAF11
547	DCAF11
570	DCAF11
575	DCAF11
444	DCAF11
2570	DCAF11
592	DCAF11
552	DCAF11
587	DCAF11
2342	DCAF11
2402	DCAF11
659	DCAF11
2469	DCAF11
686	DCAF11
2627	DCAF11
1011	DCAF11
843	DCAF11
205	GPR143P
3791	DAZ2
4065	DAZ2
2405	DAZ2
850	
1194	FITM1
800	FITM1
1033	PSME1
965	PSME1
947	PSME1
865	PSME1
1136	PSME1
945	PSME1
476	PSME1
763	PSME1
922	PSME1
651	PSME1
565	EMC9
872	EMC9
953	EMC9
838	EMC9
771	EMC9
530	EMC9
769	EMC9
747	
496	PSME2
755	PSME2
793	PSME2
874	PSME2
706	PSME2
643	PSME2
1721	PSME2
1502	PSME2
2754	PSME2
620	PSME2
484	PSME2
512	PSME2
702	PSME2
760	PSME2
785	PSME2
300	PSME2
185	PSME2
460	PSME2
77	MIR7703
550	RNF31
559	RNF31
537	RNF31
574	RNF31
889	RNF31
578	RNF31
557	RNF31
576	RNF31
3198	RNF31
3502	RNF31
554	RNF31
551	RNF31
888	RNF31
777	RNF31
2834	RNF31
1147	RNF31
1957	RNF31
1943	RNF31
606	RNF31
575	RNF31
808	RNF31
660	RNF31
579	RNF31
478	RNF31
320	RNF31
5574	
120	RNA5SP383
779	TSPY2
1166	TSPY2
1125	TSPY2
1895	TSPY2
582	TSPY2
1626	IRF9
1391	IRF9
1066	IRF9
546	IRF9
623	IRF9
1769	IRF9
583	IRF9
841	IRF9
608	IRF9
731	IRF9
658	IRF9
573	IRF9
567	IRF9
819	IRF9
648	IRF9
2405	REC8
635	REC8
2276	REC8
2720	REC8
661	REC8
653	REC8
1096	REC8
1035	REC8
424	REC8
1007	REC8
561	REC8
494	REC8
405	REC8
1263	AGKP1
532	NLGN4Y-AS1
1718	RBMY1E
1882	RBMY1E
1773	RBMY1E
3498	IPO4
3632	IPO4
1864	IPO4
3581	IPO4
3540	IPO4
3440	IPO4
3485	IPO4
3537	IPO4
1015	IPO4
3249	IPO4
624	IPO4
701	IPO4
579	IPO4
492	IPO4
554	IPO4
555	IPO4
297	IPO4
558	IPO4
535	IPO4
530	IPO4
573	IPO4
4351	
1219	
2425	TM9SF1
2200	TM9SF1
2107	TM9SF1
1938	TM9SF1
505	TM9SF1
2055	TM9SF1
1089	TM9SF1
961	TM9SF1
721	TM9SF1
1065	TM9SF1
882	TM9SF1
904	TM9SF1
7368	NLGN4Y
793	NLGN4Y
6617	NLGN4Y
5167	NLGN4Y
5338	NLGN4Y
5460	NLGN4Y
530	NLGN4Y
540	NLGN4Y
7194	NLGN4Y
5310	NLGN4Y
722	NLGN4Y
2740	
658	
1200	
1347	TSSK4
1394	TSSK4
896	TSSK4
1257	TSSK4
576	TSSK4
708	TSSK4
725	TSSK4
1393	CHMP4A
967	CHMP4A
1266	CHMP4A
847	CHMP4A
733	CHMP4A
268	CHMP4A
716	CHMP4A
370	CHMP4A
571	CHMP4A
563	CHMP4A
2108	
2102	
889	MDP1
582	MDP1
723	MDP1
562	MDP1
501	MDP1
527	MDP1
578	MDP1
523	MDP1
718	MDP1
758	NEDD8-MDP1
595	NEDD8-MDP1
471	NEDD8-MDP1
681	NEDD8-MDP1
890	LINC00278
1582	LINC00278
1209	LINC00278
528	LINC00278
1140	LINC00278
1341	LINC00278
748	LINC00278
1015	LINC00278
749	LINC00278
1566	LINC00278
626	NEDD8
616	NEDD8
847	NEDD8
651	NEDD8
654	NEDD8
286	NEDD8
653	NEDD8
2300	NEDD8
1554	CDY22P
326	ELOCP17
959	OFD1P18Y
331	TRAPPC2P4
573	RAB9AP3
558	USP9YP20
164	RNU1-40P
432	USP9YP21
1116	XKRYP6
1910	GMPR2
1972	GMPR2
1893	GMPR2
2160	GMPR2
1748	GMPR2
583	GMPR2
1562	GMPR2
466	GMPR2
1684	GMPR2
877	GMPR2
601	GMPR2
735	GMPR2
346	GMPR2
1652	GMPR2
402	GMPR2
842	GMPR2
1864	GMPR2
817	GMPR2
721	GMPR2
2025	GMPR2
1719	GMPR2
1484	GMPR2
732	GMPR2
857	GMPR2
719	GMPR2
360	GMPR2
469	GMPR2
657	GMPR2
573	GMPR2
231	GMPR2
517	GMPR2
444	PRYP4
332	ELOCP11
1014	CDY23P
661	USP9YP26
318	HSFY8P
1392	OFD1P15Y
1157	RBMY2DP
392	RBMY2DP
200	REREP2Y
223	
1671	PPP1R12BP1
104	RNU6-1314P
323	CYCSP48
659	ANKRD36P1
111	
540	VCY1B
305	PNPLA4P1
136	
1198	OFD1P2Y
2826	OFD1P5Y
825	
1026	TBL1YP1
468	TINF2
637	TINF2
1801	TINF2
2168	TINF2
1674	TINF2
1643	TINF2
1874	TINF2
565	TINF2
885	TINF2
946	TINF2
627	TINF2
894	TINF2
607	TINF2
574	TINF2
848	RPS4Y2
1181	HSFY4P
455	
1001	GAPDHP17
219	TMEM167AP1
983	
312	TOMM22P1
4158	
3335	
984	NEFLP1
1052	
2744	TGM1
1581	TGM1
412	TGM1
898	TGM1
555	TGM1
527	TGM1
562	TGM1
580	TGM1
469	TGM1
878	PRORY
226	
2858	
947	RBMY2TP
915	TSPY14P
1389	RBMY1HP
717	
721	
1942	TTTY13
659	TTTY13
735	RABGGTA
680	RABGGTA
2265	RABGGTA
2088	RABGGTA
704	RABGGTA
2060	RABGGTA
1963	RABGGTA
1883	RABGGTA
1197	RABGGTA
1997	RABGGTA
768	RABGGTA
534	RABGGTA
886	RABGGTA
1329	RABGGTA
753	RABGGTA
648	RABGGTA
889	RABGGTA
573	RABGGTA
570	RABGGTA
877	RABGGTA
678	RABGGTA
403	HSFY6P
695	USP9YP18
1014	CDY14P
332	ELOCP16
1116	XKRYP3
443	USP9YP25
563	USP9YP29
164	RNU1-97P
573	RAB9AP1
343	TRAPPC2P9
1177	OFD1P11Y
444	PRYP3
582	
573	
191	RNU2-57P
855	VDAC1P6
1220	EIF4A1P2
331	
1287	KRT18P10
1217	
176	SNX3P1Y
438	RPL26P37
528	DHRS1
1181	DHRS1
719	DHRS1
1427	DHRS1
2660	DHRS1
1470	DHRS1
1623	DHRS1
2027	DHRS1
629	DHRS1
565	DHRS1
609	DHRS1
4710	PCDH11Y
3398	PCDH11Y
4824	PCDH11Y
8550	PCDH11Y
329	PCDH11Y
536	PCDH11Y
4595	PCDH11Y
4220	PCDH11Y
9039	PCDH11Y
6045	NOP9
1942	NOP9
2139	NOP9
455	NOP9
1602	CIDEB
2409	CIDEB
2294	CIDEB
248	CIDEB
532	CIDEB
552	CIDEB
710	LTB4R2
3092	LTB4R2
1500	LTB4R2
1560	LTB4R2
1108	LTB4R2
1433	OFD1P10Y
239	ELOCP9
1570	CDY15P
483	XKRYP4
480	USP9YP13
717	USP9YP11
431	LTB4R
2703	LTB4R
4110	LTB4R
797	LTB4R
1627	LTB4R
344	TTTY3B
570	USP9YP12
154	RNU1-86P
597	RAB9AP5
323	TRAPPC2P10
1207	OFD1P12Y
3990	ADCY4
3415	ADCY4
846	ADCY4
5276	ADCY4
3404	ADCY4
3010	ADCY4
3353	ADCY4
3385	ADCY4
434	ADCY4
673	ADCY4
913	ADCY4
575	ADCY4
411	ADCY4
897	ADCY4
1351	ADCY4
552	ADCY4
443	ADCY4
559	ADCY4
327	ELOCP10
2321	CDY1B
2227	CDY1B
1282	CDY17P
412	USP9YP35
881	USP9YP31
1609	CDY18P
512	
1298	GOLGA6L11P
490	DNM1P24
595	
795	CSPG4P2Y
3724	CSPG4P3Y
397	
259	RN7SL818P
207	UBE2Q2P4Y
782	LINC00265-2P
2328	CICP2
930	
169	SEPTIN14P22
75	
895	RBMY2XP
1872	RIPK3
1758	RIPK3
587	RIPK3
1629	RIPK3
657	RIPK3
500	RIPK3
569	RIPK3
166	TTTY17B
574	TRIM60P5Y
1243	ZNF736P12Y
1346	TTTY4B
101	U6
559	BPY2B
1206	BPY2B
1010	BPY2B
321	BPY2B
1243	ZNF736P4Y
415	
1495	NFATC4
5700	NFATC4
2893	NFATC4
2131	NFATC4
2830	NFATC4
2506	NFATC4
5488	NFATC4
5686	NFATC4
2924	NFATC4
2566	NFATC4
3057	NFATC4
3377	NFATC4
559	NFATC4
4762	NFATC4
573	NFATC4
1803	NFATC4
5367	NFATC4
904	NFATC4
2707	NFATC4
2631	NFATC4
2955	NFATC4
2509	NFATC4
5613	NFATC4
5491	NFATC4
3169	NFATC4
2420	NFATC4
1382	NFATC4
2025	NFATC4
4364	NFATC4
856	NFATC4
2235	NFATC4
1476	NFATC4
447	NFATC4
776	TTTY17C
912	RBMY2YP
842	SEPTIN14P23
723	SEPTIN14P23
2410	CICP1
903	LINC00265-3P
207	UBE2Q2P5Y
1653	GOLGA2P3Y
259	RN7SL725P
3724	CSPG4P4Y
795	CSPG4P1Y
439	DNM1P48
379	
1299	GOLGA6L16P
517	
1613	CDY19P
829	USP9YP36
421	USP9YP33
1279	CDY20P
327	ELOCP34
1232	OFD1P13Y
308	TRAPPC2P5
597	RAB9AP2
455	USP9YP30
154	RNU1-107P
344	TTTY3
715	USP9YP9
485	USP9YP19
1089	DHRS4
1274	DHRS4
1340	DHRS4
987	DHRS4
883	DHRS4
1003	DHRS4
1138	DHRS4
699	DHRS4
483	XKRYP5
1605	TPTE2P4
319	CYCSP49
342	SLC25A15P1
2337	PARP4P1
640	CCNQP2
968	DHRS4L2
556	DHRS4L2
918	DHRS4L2
1269	DHRS4L2
784	DHRS4L2
800	DHRS4L2
511	DHRS4L2
2177	CDY1
2366	CDY1
1717	RBMY1J
1946	RBMY1J
1382	DHRS4L1
477	
2183	ZNF736P9Y
1345	ZNF736P9Y
731	ZNF736P9Y
1921	RBMY1B
1718	RBMY1B
1921	RBMY1A1
1718	RBMY1A1
996	RFTN1P1
1660	
1033	
1639	
457	FAM197Y5
390	FAM197Y5
467	FAM197Y5
2338	
467	
1263	RBMY2FP
2042	RBMY2FP
481	H3-4
459	RPL23AP15
1159	
895	H2AC25
329	
2364	H2BC26
79	MIR4666A
1147	RBMY2QP
524	H2BC27P
933	
1164	
3118	RNF187
2467	RNF187
1156	RBMY2BP
695	BTNL10P
565	BTNL10P
392	
119	RNA5S1
119	RNA5S2
119	RNA5S3
549	TTTY23B
119	RNA5S16
119	RNA5S17
512	TTTY23B
121	RNA5SP18
1139	DUSP5P1
125	
412	FTH1P2
3965	RHOU
936	TSPY5P
142	
303	TTTY11
837	TTTY11
635	ARSLP1
499	
540	FAM197Y9
2332	FAM197Y9
467	FAM197Y9
456	FAM197Y3
2325	FAM197Y3
467	FAM197Y3
2724	OFD1P6Y
1637	TTTY9A
1100	XKRY
1581	XKRY
1093	XKRYP7
1581	XKRYP7
835	
106	
1492	XGY2
363	XGY2
682	XGY2
320	XGY2
607	XGY2
551	XGY2
246	XGY2
1191	HSFY3P
647	
1634	TAB3P1
853	
1816	ANOS2P
2919	
689	
680	
940	RBMY2EP
704	
1506	GOLGA2P2Y
1060	GOLGA2P2Y
5093	BCORP1
3461	BCORP1
2770	BCORP1
2633	BCORP1
3118	BCORP1
354	BCORP1
1268	
683	
1454	
1573	
1574	TXLNGY
1000	TXLNGY
2103	TXLNGY
832	TXLNGY
2018	TXLNGY
2761	TXLNGY
699	TXLNGY
510	TXLNGY
378	TXLNGY
336	TXLNGY
453	TXLNGY
7299	TXLNGY
1074	TXLNGY
841	TXLNGY
2569	TXLNGY
952	TXLNGY
1911	TXLNGY
1223	TXLNGY
1533	TXLNGY
149	GYG2P1
2203	
1497	
639	
944	
623	
694	
617	
534	
600	
676	
779	TSPY4
