	#feature_id	TPM	gene
307	ENSG00000117154.12	26.315751	IGSF21
308	ENSG00000117155.17	507.935765	SSX2IP
309	ENSG00000117174.11	46.365847	ZNHIT6
310	ENSG00000117222.14	31.11942	RBBP5
311	ENSG00000117226.12	1.461986	GBP3
312	ENSG00000117228.11	1.879697	GBP1
313	ENSG00000117245.13	1.044276	KIF17
314	ENSG00000117262.19	25.06262	GPR89A
315	ENSG00000117266.16	15.246427	CDK18
316	ENSG00000117280.13	5.63909	RAB29
317	ENSG00000117298.16	103.592163	ECE1
318	ENSG00000117305.15	42.397599	HMGCL
319	ENSG00000117308.15	6.265655	GALE
320	ENSG00000117318.9	86.257184	ID3
321	ENSG00000117335.20	215.120822	CD46
322	ENSG00000117360.13	35.505378	PRPF3
323	ENSG00000117362.13	48.454399	APH1A
324	ENSG00000117385.16	26.524606	P3H1
325	ENSG00000117394.24	1279.655606	SLC2A1
326	ENSG00000117395.13	36.549654	EBNA1BP2
327	ENSG00000117399.14	1.461986	CDC20
328	ENSG00000117408.11	72.681598	IPO13
329	ENSG00000117410.14	127.610507	ATP6V0B
330	ENSG00000117411.18	5.847945	B4GALT2
331	ENSG00000117419.16	51.169516	ERI3
332	ENSG00000117425.14	1.253131	PTCH2
333	ENSG00000117448.14	18.58811	AKR1A1
334	ENSG00000117450.15	86.674894	PRDX1
335	ENSG00000117461.15	126.566231	PIK3R3
336	ENSG00000117475.14	63.909681	BLZF1
337	ENSG00000117477.13	102.130177	CCDC181
338	ENSG00000117479.15	38.429351	SLC19A2
339	ENSG00000117480.16	32.790261	FAAH
340	ENSG00000117481.11	15.872993	NSUN4
341	ENSG00000117500.13	40.517902	TMED5
342	ENSG00000117505.13	164.160161	DR1
343	ENSG00000117519.16	847.325411	CNN3
344	ENSG00000117523.18	101.921321	PRRC2C
345	ENSG00000117525.14	63.491971	F3
346	ENSG00000117528.14	80.618094	ABCD3
347	ENSG00000117533.15	52.213792	VAMP4
348	ENSG00000117543.22	9.816193	DPH5
349	ENSG00000117569.19	99.623915	PTBP2
350	ENSG00000117586.11	3.968248	TNFSF4
351	ENSG00000117592.9	61.194564	PRDX6
352	ENSG00000117593.12	15.455282	DARS2
353	ENSG00000117595.12	12.322455	IRF6
354	ENSG00000117597.18	19.841241	UTP25
355	ENSG00000117598.13	8.563062	PLPPR5
356	ENSG00000117600.14	68.922205	PLPPR4
357	ENSG00000117602.13	25.898041	RCAN3
358	ENSG00000117614.10	44.903861	SYF2
359	ENSG00000117616.18	145.780906	RSRP1
360	ENSG00000117620.15	39.473627	SLC35A3
361	ENSG00000117625.14	92.313984	RCOR3
362	ENSG00000117632.23	245.822531	STMN1
363	ENSG00000117640.18	154.552823	MTFR1L
364	ENSG00000117643.15	8.771917	MAN1C1
365	ENSG00000117650.13	5.430234	NEK2
366	ENSG00000117676.14	2.506262	RPS6KA1
367	ENSG00000117682.17	50.54295	DHDDS
368	ENSG00000117691.10	4.803669	NENF
369	ENSG00000117697.15	30.283999	NSL1
370	ENSG00000117707.16	184.001402	PROX1
371	ENSG00000117713.21	61.612274	ARID1A
372	ENSG00000117724.14	5.221379	CENPF
373	ENSG00000117748.10	172.096657	RPA2
374	ENSG00000117751.18	46.365847	PPP1R8
375	ENSG00000117758.14	251.461621	STX12
376	ENSG00000117791.16	3.550538	MTARC2
377	ENSG00000117859.19	128.445928	OSBPL9
378	ENSG00000117862.13	65.789378	TXNDC12
379	ENSG00000118194.21	0.626566	TNNT2
380	ENSG00000118197.14	11.487034	DDX59
381	ENSG00000118200.15	60.150288	CAMSAP2
382	ENSG00000118217.7	133.458452	ATF6
383	ENSG00000118292.9	0.41771	C1orf54
384	ENSG00000118298.12	39.264771	CA14
385	ENSG00000118454.13	118.629735	ANKRD13C
386	ENSG00000118473.23	209.690587	SGIP1
387	ENSG00000118655.7	8.980772	DCLRE1B
388	ENSG00000118729.12	0.41771	CASQ2
389	ENSG00000118733.17	17.543834	OLFM3
390	ENSG00000118873.17	90.851998	RAB3GAP2
391	ENSG00000119280.17	159.147637	C1orf198
392	ENSG00000119283.16	14.828717	TRIM67
393	ENSG00000119285.11	17.543834	HEATR1
394	ENSG00000119535.18	0.41771	CSF3R
395	ENSG00000120333.4	50.54295	MRPS14
396	ENSG00000120334.16	1.461986	CENPL
397	ENSG00000120370.14	19.00582	GORAB
398	ENSG00000120656.14	14.619862	TAF12
399	ENSG00000120942.14	53.466923	UBIAD1
400	ENSG00000120948.19	429.197368	TARDBP
401	ENSG00000121310.17	24.018344	ECHDC2
402	ENSG00000121454.6	58.688302	LHX4
403	ENSG00000121481.11	52.004937	RNF2
404	ENSG00000121486.12	57.017461	TRMT1L
405	ENSG00000121644.19	39.264771	DESI2
406	ENSG00000121753.13	10.442758	ADGRB2
407	ENSG00000121766.16	60.359143	ZCCHC17
408	ENSG00000121769.8	3.968248	FABP3
409	ENSG00000121774.18	92.731694	KHDRBS1
410	ENSG00000121775.18	3.132828	TMEM39B
411	ENSG00000121851.13	17.543834	POLR3GL
412	ENSG00000121900.19	0.835421	TMEM54
413	ENSG00000121903.15	5.847945	ZSCAN20
414	ENSG00000121905.10	40.726758	HPCA
415	ENSG00000121931.16	42.397599	LRIF1
416	ENSG00000121940.17	45.948137	CLCC1
417	ENSG00000121957.15	30.075144	GPSM2
418	ENSG00000122176.12	12.322455	FMOD
419	ENSG00000122180.5	0.41771	MYOG
420	ENSG00000122188.13	0.208855	LAX1
421	ENSG00000122218.16	235.588628	COPA
422	ENSG00000122406.14	45.530426	RPL5
423	ENSG00000122417.15	34.043392	ODF2L
424	ENSG00000122420.10	1.670841	PTGFR
425	ENSG00000122432.18	0.208855	SPATA1
426	ENSG00000122435.11	19.00582	TRMT13
427	ENSG00000122477.13	105.471859	LRRC39
428	ENSG00000122481.17	7.936496	RWDD3
429	ENSG00000122482.22	111.110949	ZNF644
430	ENSG00000122483.18	1.044276	CCDC18
431	ENSG00000122484.9	42.815309	RPAP2
432	ENSG00000123080.12	7.309931	CDKN2C
433	ENSG00000123091.5	739.138435	RNF11
434	ENSG00000123472.12	135.755858	ATPAF1
435	ENSG00000123473.17	1.670841	STIL
436	ENSG00000123684.13	186.507664	LPGAT1
437	ENSG00000123689.6	0.41771	G0S2
438	ENSG00000123836.15	246.866807	PFKFB2
439	ENSG00000125459.17	7.727641	MSTO1
440	ENSG00000125462.19	30.075144	MIR9-1HG
441	ENSG00000125703.15	23.600634	ATG4C
442	ENSG00000125944.21	357.35119	HNRNPR
443	ENSG00000125945.15	26.733461	ZNF436
444	ENSG00000126067.12	29.239723	PSMB2
445	ENSG00000126070.20	52.422647	AGO3
446	ENSG00000126088.14	41.353323	UROD
447	ENSG00000126091.21	30.492854	ST3GAL3
448	ENSG00000126106.14	12.94902	TMEM53
449	ENSG00000126107.15	32.999116	HECTD3
450	ENSG00000126698.11	219.924491	DNAJC8
451	ENSG00000126705.15	17.126124	AHDC1
452	ENSG00000126709.16	16.499558	IFI6
453	ENSG00000127054.22	57.226316	INTS11
454	ENSG00000127125.9	40.309047	PPCS
455	ENSG00000127129.10	0.41771	EDN2
456	ENSG00000127423.11	0.208855	AUNIP
457	ENSG00000127463.16	104.845294	EMC1
458	ENSG00000127472.11	3.550538	PLA2G5
459	ENSG00000127481.15	85.421763	UBR4
460	ENSG00000127483.19	98.370784	HP1BP3
461	ENSG00000127603.32	329.573453	MACF1
462	ENSG00000130695.16	46.783557	CEP85
463	ENSG00000130762.15	3.550538	ARHGEF16
464	ENSG00000130764.10	94.820246	LRRC47
465	ENSG00000130766.5	21.929793	SESN2
466	ENSG00000130770.18	91.478563	ATP5IF1
467	ENSG00000130772.14	1.253131	MED18
468	ENSG00000130775.16	0.835421	THEMIS2
469	ENSG00000130939.20	27.986592	UBE4B
470	ENSG00000130940.15	62.23884	CASZ1
471	ENSG00000131236.18	318.712984	CAP1
472	ENSG00000131238.18	685.253802	PPT1
473	ENSG00000131584.19	94.820246	ACAP3
474	ENSG00000131591.18	8.980772	C1orf159
475	ENSG00000131697.18	11.278179	NPHP4
476	ENSG00000131778.20	65.789378	CHD1L
477	ENSG00000131779.11	49.080964	PEX11B
478	ENSG00000131781.13	0.41771	FMO5
479	ENSG00000131788.16	48.036688	PIAS3
480	ENSG00000131791.8	22.765213	PRKAB2
481	ENSG00000131910.5	0.626566	NR0B2
482	ENSG00000132122.12	17.961544	SPATA6
483	ENSG00000132128.18	161.862754	LRRC41
484	ENSG00000132185.18	0.208855	FCRLA
485	ENSG00000132196.16	9.816193	HSD17B7
486	ENSG00000132485.14	249.999635	ZRANB2
487	ENSG00000132676.16	42.606454	DAP3
488	ENSG00000132680.11	172.723223	KHDC4
489	ENSG00000132681.17	0.208855	ATP1A4
490	ENSG00000132688.11	11.487034	NES
491	ENSG00000132692.19	14.202151	BCAN
492	ENSG00000132694.19	3.968248	ARHGEF11
493	ENSG00000132716.19	237.468325	DCAF8
494	ENSG00000132718.9	123.433404	SYT11
495	ENSG00000132763.15	1.461986	MMACHC
496	ENSG00000132768.14	20.467806	DPH2
497	ENSG00000132773.12	0.626566	TOE1
498	ENSG00000132780.17	25.898041	NASP
499	ENSG00000132781.20	8.980772	MUTYH
500	ENSG00000132849.22	17.961544	PATJ
501	ENSG00000132854.19	3.132828	KANK4
502	ENSG00000132879.14	39.891337	FBXO44
503	ENSG00000132881.12	1.253131	CPLANE2
504	ENSG00000132906.18	5.221379	CASP9
505	ENSG00000133019.12	5.847945	CHRM3
506	ENSG00000133048.13	26.315751	CHI3L1
507	ENSG00000133056.14	6.0568	PIK3C2B
508	ENSG00000133059.17	69.13106	DSTYK
509	ENSG00000133065.11	70.801902	SLC41A1
510	ENSG00000133067.18	0.835421	LGR6
511	ENSG00000133069.17	181.286285	TMCC2
512	ENSG00000133216.17	10.233903	EPHB2
513	ENSG00000133226.18	241.645428	SRRM1
514	ENSG00000134183.13	11.487034	GNAT2
515	ENSG00000134184.13	7.727641	GSTM1
516	ENSG00000134186.12	118.42088	PRPF38B
517	ENSG00000134198.10	1.461986	TSPAN2
518	ENSG00000134201.12	18.796965	GSTM5
519	ENSG00000134202.12	44.277295	GSTM3
520	ENSG00000134207.17	12.1136	SYT6
521	ENSG00000134215.16	11.904745	VAV3
522	ENSG00000134222.16	49.916385	PSRC1
523	ENSG00000134240.12	0.208855	HMGCS2
524	ENSG00000134242.16	0.626566	PTPN22
525	ENSG00000134243.12	209.899443	SORT1
526	ENSG00000134245.18	15.664138	WNT2B
527	ENSG00000134247.10	9.607338	PTGFRN
528	ENSG00000134248.14	59.314867	LAMTOR5
529	ENSG00000134250.21	63.07426	NOTCH2
530	ENSG00000134253.10	12.322455	TRIM45
531	ENSG00000134255.15	27.568882	CEPT1
532	ENSG00000134262.13	41.144468	AP4B1
533	ENSG00000134369.16	18.58811	NAV1
534	ENSG00000134371.14	128.654783	CDC73
535	ENSG00000134375.11	60.359143	TIMM17A
536	ENSG00000134376.17	117.167749	CRB1
537	ENSG00000134644.16	178.780023	PUM1
538	ENSG00000134684.12	192.564464	YARS1
539	ENSG00000134686.20	51.378371	PHC2
540	ENSG00000134690.11	4.177103	CDCA8
541	ENSG00000134697.13	65.371667	GNL2
542	ENSG00000134698.11	31.745985	AGO4
543	ENSG00000134709.13	265.037207	HOOK1
544	ENSG00000134716.11	15.664138	CYP2J2
545	ENSG00000134717.18	118.42088	BTF3L4
546	ENSG00000134744.14	116.541183	TUT4
547	ENSG00000134748.13	107.142701	PRPF38A
548	ENSG00000135744.9	43.859585	AGT
549	ENSG00000135749.19	19.423531	PCNX2
550	ENSG00000135750.15	43.024164	KCNK1
551	ENSG00000135763.10	8.354207	URB2
552	ENSG00000135766.9	81.871225	EGLN1
553	ENSG00000135775.14	65.580522	COG2
554	ENSG00000135776.5	10.860469	ABCB10
555	ENSG00000135778.12	33.416827	NTPCR
556	ENSG00000135801.10	7.101076	TAF5L
557	ENSG00000135821.19	14342.710861	GLUL
558	ENSG00000135823.14	58.061736	STX6
559	ENSG00000135824.12	29.448579	RGS8
560	ENSG00000135828.11	24.64491	RNASEL
561	ENSG00000135829.17	183.165981	DHX9
562	ENSG00000135835.12	64.536247	KIAA1614
563	ENSG00000135837.16	75.60557	CEP350
564	ENSG00000135838.14	3.341683	NPL
565	ENSG00000135842.17	1.879697	NIBAN1
566	ENSG00000135845.10	18.1704	PIGC
567	ENSG00000135862.6	7.309931	LAMC1
568	ENSG00000135870.12	114.034921	RC3H1
569	ENSG00000136628.18	182.330561	EPRS1
570	ENSG00000136630.13	0.208855	HLX
571	ENSG00000136631.15	96.699942	VPS45
572	ENSG00000136636.13	36.340799	KCTD3
573	ENSG00000136643.12	31.745985	RPS6KC1
574	ENSG00000137936.18	8.145352	BCAR3
575	ENSG00000137941.17	55.76433	TTLL7
576	ENSG00000137942.18	28.195448	FNBP1L
577	ENSG00000137944.18	8.771917	KYAT3
578	ENSG00000137947.12	18.379255	GTF2B
579	ENSG00000137955.16	11.904745	RABGGTB
580	ENSG00000137959.17	3.341683	IFI44L
581	ENSG00000137960.6	0.41771	GIPC2
582	ENSG00000137962.13	94.19368	ARHGAP29
583	ENSG00000137965.11	1.253131	IFI44
